name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source
Smartphone Itel A58 PRO / 4G / Double SIM / 2 Go / 32 Go / Cyan,Itel mobile,2.0,32.0,4000.0,6.0,5.0,5.0,4G,Android 11,Quad Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/58452-smartphone-itel-a58-pro-4g-double-sim-2-go-32-go-cyan.html,Tunisianet
Smartphone ITEL A60S 2Go / 64Go / Noir,Itel mobile,2.0,64.0,5000.0,6.0,50.0,5.0,4G,Android 12,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/66081-smartphone-itel-a60s-2go-64go-vert.html,Tunisianet
Smartphone ITEL A60S 2Go / 64Go / VERT,Itel mobile,2.0,64.0,5000.0,6.0,50.0,5.0,4G,Android 12,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/66080-smartphone-itel-a60s-2go-64go-vert.html,Tunisianet
Smartphone TCL 403 / 4G  / 2 Go / 32 Go / Mauve,TCL,2.0,32.0,3000.0,6.7,8.0,5.0,4G,Android 12,Quad Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/64042-smartphone-tcl-403-4g-2-go-32-go-mauve.html,Tunisianet
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Noir,TECNO,4.0,64.0,5000.0,6.0,13.0,8.0,4G,Android 13,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/87976-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-noir.html,Tunisianet
Smartphone Lesia Bright 3 / 4Go/64Go  / Bleu Ciel,Lesia,8.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 13,Octa Core,259.0,https://www.tunisianet.com.tn/smartphone-tunisie/92342-smartphone-lesia-bright-3-4go64go-bleu-ciel.html,Tunisianet
Smartphone Lesia Bright 3 / 4Go/64Go  / Bleu Nuit,Lesia,8.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 13,Octa Core,259.0,https://www.tunisianet.com.tn/smartphone-tunisie/92351-smartphone-lesia-bright-3-4go64go-bleu-nuit.html,Tunisianet
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Bleu,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87267-smartphone-infinix-smart-10-4g-3-go-64-go-bleu.html,Tunisianet
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Silver,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87268-smartphone-infinix-smart-10-4g-3-go-64-go-silver.html,Tunisianet
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Gold,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87269-smartphone-infinix-smart-10-4g-3-go-64-go-gold.html,Tunisianet
