model,brand,reference,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone XIAOMI Redmi A5 4G 3/64Go - Noir,Xiaomi,REDMI-A5-3/64-MBLACK,289.000,,3,64.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,Noir,,Oui,"Smartphone XIAOMI Redmi A5 4G 3/64Go - Noir [REDMI-A5-3/64-MBLACK] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 3Go - Stockage : 64Go - Appareil photo arrière: 32 MP - Appareil Photo Fronta... 289,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-3-64go-noir.html
Smartphone XIAOMI Redmi A5 4G 3/64Go - Bleu Océan,Xiaomi,REDMI-A5-3/64-OBLUE,289.000,,3,64.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,Bleu Océan,,Oui,"Smartphone XIAOMI Redmi A5 4G 3/64Go - Bleu Océan [REDMI-A5-3/64-OBLUE] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250, Octa-core - Système d’exploitation: Android 15 - Mémoire: 3Go - Stockage: 64Go - Appareil photo arrière: 32 MP - Appareil Photo Frontale... 289,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-3-64go-bleu-ocean.html
Smartphone XIAOMI Redmi A5 4G 3Go 64Go  - Vert Lac,Xiaomi,REDMI-A5-3/64-LGREEN,289.000,,3,64.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,Vert Lac,,Oui,"Smartphone XIAOMI Redmi A5 4G 3Go 64Go  - Vert Lac [REDMI-A5-3/64-LGREEN] Smartphone XIAOMI Redmi A5 - Écran : 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 3Go - Stockage : 64Go - Appareil photo arrière: 32 MP - Appareil Photo Fron... 289,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-3go-64go-vert-lac.html
Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-BLACK - Noir,Honor,HONOR-PLAY10-BLACK,299.000,,3,64.0,5000.0,6.74,,,4G,Android 15,Octa Core,Noir,,Oui,"Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-BLACK - Noir [HONOR-PLAY10-BLACK] Écran 6.74"" LCD TFT (720 x 1600), 90hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2,0 GHz Cortex-A75 et 6x1,7 GHz Cortex-A55 - Système d'exploitation: Android 15 (édition Go) - Mémoire RAM: 3Go ... 299,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-play-10-3go-64go-noir.html
Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-CYAN - Cyan,Honor,HONOR-PLAY10-CYAN,299.000,,3,64.0,5000.0,6.74,,,4G,Android 15,Octa Core,Cyan,,Oui,"Smartphone Honor Play 10 3Go 64Go HONOR-PLAY10-CYAN - Cyan [HONOR-PLAY10-CYAN] Écran 6.74"" LCD TFT (720 x 1600), 90hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2,0 GHz Cortex-A75 et 6x1,7 GHz Cortex-A55 - Système d'exploitation: Android 15 (édition Go) - Mémoire RAM: 3Go ... 299,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-play-10-3go-64go-honor-play10-cyan-cyan.html
Smartphone VIVO Y03 8Go 64Go - Noir,Vivo,VIVO-Y03-4/64-BK,349.000,319.000,4,64.0,5000.0,6.56,,,4G,Android 14,Octa Core,Noir,,En arrivage,"Smartphone VIVO Y03 8Go 64Go - Noir [VIVO-Y03-4/64-BK] Écran 6.56"" LCD IPS  (720 x 1612pixels), 90Hz - Processeur: Mediatek Hélio G85 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go(Extensible jusqu'à 8Go) - Stockage: 64Go - Appareils Photos ... 319,000 DT 349,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-vivo-y03-4go-64go-noir.html
Smartphone HONOR X5b 4Go 64Go - Noir,Honor,HONOR-X5B-4/64-BK,359.000,319.000,4,64.0,5200.0,6.56,,,4G,Android 14,Octa Core,Noir,,En arrivage,"Smartphone HONOR X5b 4Go 64Go - Noir [HONOR-X5B-4/64-BK] Écran 6.56"" TFT LCD (720 x 1612px), 90hz - Processeur: MediaTek Helio G36 Octa-core - Fréquence Processeur: 4x Cortex-A53 jusqu'à 2,2 GHz + 4x Cortex-A53 jusqu'à 1,6 GHz - Système d'exploitation: Android 14, magicOS 8.0 ... 319,000 DT 359,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-honor-x5b-4go-64go-noir.html
Smartphone HONOR X5b 4Go 64Go - Bleu,Honor,HONOR-X5B-4/64-BL,359.000,319.000,4,64.0,5200.0,6.56,,,4G,Android 14,Octa Core,Bleu,,En arrivage,"Smartphone HONOR X5b 4Go 64Go - Bleu [HONOR-X5B-4/64-BL] Écran 6.56"" TFT LCD (720 x 1612px), 90hz - Processeur: MediaTek Helio G36 Octa-core - Fréquence Processeur: 4x Cortex-A53 jusqu'à 2,2 GHz + 4x Cortex-A53 jusqu'à 1,6 GHz - Système d'exploitation: Android 14, magicOS 8.0 ... 319,000 DT 359,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-honor-x5b-4go-64go-bleu.html
Smartphone INFINIX Smart 10 4Go 128Go - SEELK BLACK,Infinix,X6725-SMART10-4/128-SBLACK,319.000,,4,128.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,SEELK BLACK,,Oui,"Smartphone INFINIX Smart 10 4Go 128Go - SEELK BLACK [X6725-SMART10-4/128-SBLACK] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 128Go - Appareil Photo Arrière: 8MP , Fronta... 319,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-128go-seelk-black.html
Smartphone INFINIX Smart 10 4Go 128Go - Titanium Silver,Infinix,X6725-SMART10-4/128-TSILVER,319.000,,4,128.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,Titanium Silver,,Oui,"Smartphone INFINIX Smart 10 4Go 128Go - Titanium Silver [X6725-SMART10-4/128-TSILVER] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 128Go - Appareil Photo Arrière: 8MP , Fronta... 319,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-128go-titanium-silver.html
Smartphone INFINIX Smart 10 4Go 128Go - Iris Blue,Infinix,X6725-SMART10-4/128-IBLUE,319.000,,4,128.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,Iris Blue,,Oui,"Smartphone INFINIX Smart 10 4Go 128Go - Iris Blue [X6725-SMART10-4/128-IBLUE] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 128Go - Appareil Photo Arrière: 8MP , Fronta... 319,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-128go-iris-blue.html
Smartphone OSCAL Flat 2 12Go 128Go - Noir,,OSCAL-FLAT2-4/128-BK,329.000,,4,128.0,5000.0,6.56,,,4G,Android 14,Octa Core,Noir,,Oui,"Smartphone OSCAL Flat 2 12Go 128Go - Noir [OSCAL-FLAT2-4/128-BK] Écran 6.56"" HD+ 720 x 1612 Pixels, 90 Hz - 5 modes de confort oculaire - Processeur: Unisoc T606 (12 nm) Octa-core - Systéme d'exploitation: DokeOS 4.0 basé sur Android 14 - Mémoire RAM: 4Go (extensible jusqu'à 12Go) - S... 329,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oscal-flat-2-4go-128go-noir.html
Smartphone OSCAL Flat 2 12Go 128Go - Bleu,,OSCAL-FLAT2-4/128-BL,329.000,,4,128.0,5000.0,6.56,,,4G,Android 14,Octa Core,Bleu,,Oui,"Smartphone OSCAL Flat 2 12Go 128Go - Bleu [OSCAL-FLAT2-4/128-BL] Écran 6.56"" HD+ 720 x 1612 Pixels, 90 Hz - 5 modes de confort oculaire - Processeur: Unisoc T606 (12 nm) Octa-core - Systéme d'exploitation: DokeOS 4.0 basé sur Android 14 - Mémoire RAM: 4Go (extensible jusqu'à 12Go) - S... 329,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oscal-flat-2-4go-128go-bleu.html
Smartphone VIVO Y04 8Go 64Go - Or Titane,Vivo,VIVO-Y04-4/64-TGOLD,339.000,,4,64.0,5000.0,6.74,,,4G,Android 14,Octa Core,Or Titane,,Oui,"Smartphone VIVO Y04 8Go 64Go - Or Titane [VIVO-Y04-4/64-TGOLD] Écran 6.74"" IPS LCD (1600 x 720), 90Hz - Processeur: Unisoc T7225 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go (Extensible jusqu'à 8Go) - Stockage: 64Go - Appareil Photo Arrière: Dual ... 339,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y04-4go-64go-or-titane.html
Smartphone VIVO Y04 8Go 64Go - Vert jade,Vivo,VIVO-Y04-4/64-JGREEN,339.000,,4,64.0,5000.0,6.74,,,4G,Android 14,Octa Core,Vert jade,,Oui,"Smartphone VIVO Y04 8Go 64Go - Vert jade [VIVO-Y04-4/64-JGREEN] Écran 6.74"" IPS LCD (1600 x 720), 90Hz - Processeur: Unisoc T7225 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go (Extensible jusqu'à 8Go) - Stockage: 64Go - Appareil Photo Arrière: Dual ... 339,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y04-4go-64go-vert-jade.html
Smartphone XIAOMI Redmi A5 4G 4/128Go - Noir,Xiaomi,REDMI-A5-4/128-MBLACK,345.000,,4,128.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,Noir,,Oui,"Smartphone XIAOMI Redmi A5 4G 4/128Go - Noir [REDMI-A5-4/128-MBLACK] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 4Go - Stockage : 128Go - Appareil photo arrière: 32 MP - Appareil Photo Front... 345,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-4-128go-noir.html
Smartphone XIAOMI Redmi A5 4G 4/128Go - Bleu Océan,Xiaomi,REDMI-A5-4/128-OBLUE,345.000,,4,128.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,Bleu Océan,,Oui,"Smartphone XIAOMI Redmi A5 4G 4/128Go - Bleu Océan [REDMI-A5-4/128-OBLUE] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 4Go - Stockage : 128Go - Appareil photo arrière: 32 MP - Appareil Photo Front... 345,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-4-128go-bleu-ocean.html
Smartphone XIAOMI Redmi A5 4G 4/128Go - LAKE GREEN,Xiaomi,REDMI-A5-4/128-LGREEN,345.000,,4,128.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,LAKE GREEN,,Oui,"Smartphone XIAOMI Redmi A5 4G 4/128Go - LAKE GREEN [REDMI-A5-4/128-LGREEN] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 4Go - Stockage : 128Go - Appareil photo arrière: 32 MP - Appareil Photo Front... 345,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-4-128go-lake-green.html
Smartphone XIAOMI Redmi A5 4G 4/128Go - Sandy Gold,Xiaomi,REDMI-A5-4/128-SGOLD,345.000,,4,128.0,5200.0,6.88,32.0,,4G,Android 15,Octa Core,Sandy Gold,,Oui,"Smartphone XIAOMI Redmi A5 4G 4/128Go - Sandy Gold [REDMI-A5-4/128-SGOLD] Smartphone XIAOMI Redmi A5 - Écran 6,88"" (1640 x 720px) - Processeur: UNISOC T7250,Octa-core  - Système d’exploitation: Android 15 - Mémoire : 4Go - Stockage : 128Go - Appareil photo arrière: 32 MP - Appareil Photo Front... 345,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-xiaomi-redmi-a5-4g-4-128go-sandy-gold.html
Smartphone HONOR X5b Plus 4Go 128Go - Bleu,Honor,HONOR-X5BPLUS-4/128-BL,399.000,349.000,4,128.0,5200.0,6.56,,,4G,Android 14,Octa Core,Bleu,,Oui,"Smartphone HONOR X5b Plus 4Go 128Go - Bleu [HONOR-X5BPLUS-4/128-BL] Écran 6.56"" TFT LCD (720 x 1612px), 90hz - Processeur: MediaTek Helio G36 Octa-core - Fréquence Processeur: 4x Cortex-A53 jusqu'à 2,2 GHz + 4x Cortex-A53 jusqu'à 1,6 GHz - Système d'exploitation: Android 14, magicOS 8.0 ... 349,000 DT 399,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-x5b-plus-4go-128go-bleu.html
Smartphone INFINIX Smart 10 4Go 256Go - SEELK BLACK,Infinix,X6725-SMART10-4/256-SBLACK,359.000,,4,256.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,SEELK BLACK,,Oui,"Smartphone INFINIX Smart 10 4Go 256Go - SEELK BLACK [X6725-SMART10-4/256-SBLACK] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 256Go - Appareil Photo Arrière: 8MP , Fronta... 359,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-256go-seelk-black.html
Smartphone INFINIX Smart 10 4Go 256Go - Titanium Silver,Infinix,X6725-SMART10-4/256-TSILVER,359.000,,4,256.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,Titanium Silver,,Oui,"Smartphone INFINIX Smart 10 4Go 256Go - Titanium Silver [X6725-SMART10-4/256-TSILVER] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 256Go - Appareil Photo Arrière: 8MP , Fronta... 359,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-4go-256go-titanium-silver.html
Smartphone INFINIX Smart 10 4Go 256Go - Iris Bleu,Infinix,X6725-SMART10-4/256-IBLUE,359.000,,4,256.0,5000.0,6.7,8.0,,4G,Android 15,Octa Core,Iris Bleu,,En arrivage,"Smartphone INFINIX Smart 10 4Go 256Go - Iris Bleu [X6725-SMART10-4/256-IBLUE] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 4Go - Stockage: 256Go - Appareil Photo Arrière: 8MP , Fronta... 359,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-infinix-smart-10-4go-256go-iris-bleu.html
Smartphone HONOR X5C Plus 4G 4Go 128Go - MIDNIGHT BLACK,Honor,HONOR-X5CPLUS-4/64-MBK,359.000,,4,128.0,5000.0,6.74,,,4G,,Octa Core,MIDNIGHT BLACK,,Oui,"Smartphone HONOR X5C Plus 4G 4Go 128Go - MIDNIGHT BLACK [HONOR-X5CPLUS-4/64-MBK] Écran 6,74"" LCD TFT (720 x 1600 px), 90 Hz - Mémoire RAM: 4 Go - Stockage: 128 Go - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2,0 GHz Cortex-A75 et 6x1,7 GHz Cortex-A55 - Système d'exploitation: ... 359,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-midnight-black.html
Smartphone VIVO Y04 8Go 128Go - Vert jade,Vivo,VIVO-Y04-4/128-JGR,369.000,,4,128.0,5000.0,6.74,,,4G,Android 14,Octa Core,Vert jade,,Oui,"Smartphone VIVO Y04 8Go 128Go - Vert jade [VIVO-Y04-4/128-JGR] Écran 6.74"" IPS LCD (1600 x 720), 90Hz - Processeur: Unisoc T7225 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go (Extensible jusqu'à 8Go) - Stockage: 128Go - Appareil Photo Arrière: Dual... 369,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y04-4go-128go-vert-jade.html
Smartphone VIVO Y04 8Go 128Go - Or Titane,Vivo,VIVO-Y04-4/128-TGOLD,369.000,,4,128.0,5000.0,6.74,,,4G,Android 14,Octa Core,Or Titane,,Oui,"Smartphone VIVO Y04 8Go 128Go - Or Titane [VIVO-Y04-4/128-TGOLD] Écran 6.74"" IPS LCD (1600 x 720), 90Hz - Processeur: Unisoc T7225 (12 nm) Octa-core - Système d'exploitation: Android 14, FuntouchOS 14 - RAM: 4Go (Extensible jusqu'à 8Go) - Stockage: 128Go - Appareil Photo Arrière: Dual... 369,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-vivo-y04-4go-128go-or-titane.html
Smartphone SAMSUNG GALAXY A06 4G 8Go 128Go - Noir,Samsung,SM-A06-4/128-BLACK,499.000,379.000,4,128.0,5000.0,6.7,50.0,,4G,,Octa Core,Noir,,Oui,"Smartphone SAMSUNG GALAXY A06 4G 8Go 128Go - Noir [SM-A06-4/128-BLACK] Smartphone SAMSUNG GALAXY A06 - Écran 6.7"" LCD (720 x 1600px (HD+))- Processeur:Octa-core - Système d'exploitation: Android - Mémoire RAM: 4Go extensible jusqu'à 8 Go - Stockage: 128Go - Appareil photo Arrière:  50MP + 2... 379,000 DT 499,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a06-4g-4go-128go-noir.html
Smartphone SAMSUNG GALAXY A07 TA 8Go 64Go - Violet Clair,Samsung,SM-A07TA-4/64-LVIOLET,379.000,,8,64.0,5000.0,6.7,50.0,,4G,Android 15,Octa Core,Violet Clair,,Oui,"Smartphone SAMSUNG GALAXY A07 TA 8Go 64Go - Violet Clair [SM-A07TA-4/64-LVIOLET] Ecran 6.7"" 720 x 1600 (HD+) PLS LCD, 90Hz - Processeur: Mediatek Helio G99 (6 nm) Octa-Core - Système d’exploitation: Android 15 - Mémoire: 8Go (4Go + 4Go extensible) - Stockage: 64Go - Appareil photo arrière: 50.0 MP + ... 379,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a07-ta-4go-64go-violet-clair.html
Smartphone SAMSUNG GALAXY A07 TA 8Go 64Go - Noir,Samsung,SM-A07TA-4/64-BLACK,379.000,,8,64.0,5000.0,6.7,50.0,,4G,Android 15,Octa Core,Noir,,Oui,"Smartphone SAMSUNG GALAXY A07 TA 8Go 64Go - Noir [SM-A07TA-4/64-BLACK] Ecran 6.7"" 720 x 1600 (HD+) PLS LCD, 90Hz - Processeur: Mediatek Helio G99 (6 nm) Octa-Core - Système d’exploitation: Android 15 - Mémoire: 8 Go (4Go + 4Go Extensible) - Stockage: 64Go - Appareil photo arrière: 50.0 MP +... 379,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a07-ta-4go-64go-noir.html
Smartphone SAMSUNG GALAXY A07 TA 8Go 64Go - Vert,Samsung,SM-A07TA-4/64-GREEN,379.000,,8,64.0,5000.0,6.7,50.0,,4G,Android 15,Octa Core,Vert,,Oui,"Smartphone SAMSUNG GALAXY A07 TA 8Go 64Go - Vert [SM-A07TA-4/64-GREEN] Ecran 6.7"" 720 x 1600 (HD+) PLS LCD, 90Hz - Processeur: Mediatek Helio G99 (6 nm) Octa-Core - Système d’exploitation: Android 15 - Mémoire: 8Go (4Go + 4Go extensible) - Stockage: 64Go - Appareil photo arrière: 50.0 MP + ... 379,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a07-ta-4go-64go-vert.html
Smartphone HONOR X5C 4Go 64Go - Bleu,Honor,HONOR-X5C-4/64-TBLUE,379.000,,4,64.0,5000.0,6.74,,,4G,Android 15,Octa Core,Bleu,,Non,"Smartphone HONOR X5C 4Go 64Go - Bleu [HONOR-X5C-4/64-TBLUE] Écran 6.74"" TFT LCD (720 x 1600px), 90hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2.0 GHz Cortex-A75 et 6x1.7 GHz Cortex-A55 - Système d'exploitation: MagicOS 9.0 (Android 15) - Mémoire RAM: 4... 379,000 DT Disponibilité Épuisé",https://www.mytek.tn/smartphone-honor-x5c-4go-64go-bleu.html
Smartphone HONOR X5C 4Go 64Go - Noir,Honor,HONOR-X5C-4/64-MBK,379.000,,4,64.0,5000.0,6.74,,,4G,Android 15,Octa Core,Noir,,Oui,"Smartphone HONOR X5C 4Go 64Go - Noir [HONOR-X5C-4/64-MBK] Écran 6.74"" TFT LCD (720 x 1600px), 90hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2.0 GHz Cortex-A75 et 6x1.7 GHz Cortex-A55 - Système d'exploitation: MagicOS 9.0 (Android 15) - Mémoire RAM: 4... 379,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-x5c-4go-64go-noir.html
Smartphone OSCAL Flat 2 18Go 256Go - Noir,,OSCAL-FLAT2-6/256-BK,399.000,,6,256.0,5000.0,6.56,,,,Android 14,Octa Core,Noir,,Oui,"Smartphone OSCAL Flat 2 18Go 256Go - Noir [OSCAL-FLAT2-6/256-BK] Écran 6.56"" HD+ 720 x 1612 Pixels, 90 Hz - 5 modes de confort oculaire - Processeur: Unisoc T606 (12 nm) Octa-core - Systéme d'exploitation: DokeOS 4.0 basé sur Android 14 - Mémoire RAM: 6Go (extensible jusqu'à 18Go) - S... 399,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oscal-flat-2-6go-256go-noir.html
Smartphone OSCAL Flat 2 18Go 256Go - Bleu,,OSCAL-FLAT2-6/256-BL,399.000,,6,256.0,5000.0,6.56,,,,Android 14,Octa Core,Bleu,,Oui,"Smartphone OSCAL Flat 2 18Go 256Go - Bleu [OSCAL-FLAT2-6/256-BL] Écran 6.56"" HD+ 720 x 1612 Pixels, 90 Hz - 5 modes de confort oculaire - Processeur: Unisoc T606 (12 nm) Octa-core - Systéme d'exploitation: DokeOS 4.0 basé sur Android 14 - Mémoire RAM: 6Go (extensible jusqu'à 18Go) - S... 399,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-oscal-flat-2-6go-256go-bleu.html
Smartphone SAMSUNG GALAXY A05 6Go 128Go - Noir,Samsung,SM-A05-6/128-BK,499.000,399.000,6,128.0,5000.0,6.7,,,,Android 13,Octa Core,Noir,,Oui,"Smartphone SAMSUNG GALAXY A05 6Go 128Go - Noir [SM-A05-6/128-BK] Écran 6.7"" HD+ SVP LCD (720 x 1600px) - Système d'exploitation: Android 13 - Processeur: MediaTek Helio G85 Octa-core (2 GHz, 1,8 GHz) - Mémoire RAM: 6Go - Stockage: 128Go - Appareil photo Arrière: Dual 50MP + 2MP - Appa... 399,000 DT 499,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-samsung-galaxy-a05-6go-128go-noir.html
Smartphone INFINIX Hot 50i 4G 6Go 128Go - Purple,Infinix,X6531-HOT50I-6/128-PURPLE,399.000,,6,128.0,5000.0,6.7,,,4G,Android 14,Octa Core,Purple,,Oui,"Smartphone INFINIX Hot 50i 4G 6Go 128Go - Purple [X6531-HOT50I-6/128-PURPLE] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: MediaTek Helio G81, 48 mois de performances TÜV Fluency Octa-core - Système d'exploitation: Android 14, XOS 14.5 - RAM: 6Go - Stockage: 128Go - Appareil Photo Ar... 399,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-hot-50i-4g-6go-128go-purple.html
Smartphone HONOR X5C Plus 4G 4Go 128Go - OCEAN CYAN,Honor,HONOR-X5CPLUS-4/128-OCYAN,419.000,,4,128.0,5000.0,6.74,,,4G,Android 15,Octa Core,OCEAN CYAN,,Oui,"Smartphone HONOR X5C Plus 4G 4Go 128Go - OCEAN CYAN [HONOR-X5CPLUS-4/128-OCYAN] Écran 6,74"" LCD TFT (720 x 1600 px), 90 Hz - Processeur: MediaTek Helio G81 Octa-core - Fréquence Processeur: 2x2,0 GHz Cortex-A75 et 6x1,7 GHz Cortex-A55 - Système d'exploitation: MagicOS 9.0 (Android 15) - Mémoire RAM:... 419,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-honor-x5c-plus-4g-4go-128go-ocean-cyan.html
Smartphone INFINIX Hot 60I 4G 6Go 128Go - Sleek Black,Infinix,X6728-HOT60I-6/128-SBK,419.000,,6,128.0,5000.0,6.7,,,4G,,Octa Core,Sleek Black,,En arrivage,"Smartphone INFINIX Hot 60I 4G 6Go 128Go - Sleek Black [X6728-HOT60I-6/128-SBK] Écran: 6,7"" LCD IPS (720 x 1600 pixels), 120 Hz - Processeur: Mediatek Helio G81 Ultimate (12 nm) Octa-core - Système d'exploitation: XOS 15.1 propulsé par Android™ 15 - RAM: 6 Go - Stockage : 128 Go - Appareil photo arr... 419,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-infinix-hot-60i-4g-6go-128go-sleek-black.html
Smartphone INFINIX Hot 60I 4G 6Go 128Go - Titanium Silver,Infinix,X6728-HOT60I-6/128-TSILVER,419.000,,6,128.0,5000.0,6.7,,,4G,,Octa Core,Titanium Silver,,En arrivage,"Smartphone INFINIX Hot 60I 4G 6Go 128Go - Titanium Silver [X6728-HOT60I-6/128-TSILVER] Écran: 6,7"" LCD IPS (720 x 1600 pixels), 120 Hz - Processeur: Mediatek Helio G81 Ultimate (12 nm) Octa-core - Système d'exploitation: XOS 15.1 propulsé par Android™ 15 - RAM: 6 Go - Stockage : 128 Go - Appareil photo arr... 419,000 DT Disponibilité En arrivage",https://www.mytek.tn/smartphone-infinix-hot-60i-4g-6go-128go-titanium-silver.html
Smartphone INFINIX Hot 60I 4G 6Go 128Go - Shadow Blue,Infinix,X6728-HOT60I-6/128-SBLUE,419.000,,6,128.0,5000.0,6.7,,,4G,,Octa Core,Shadow Blue,,Oui,"Smartphone INFINIX Hot 60I 4G 6Go 128Go - Shadow Blue [X6728-HOT60I-6/128-SBLUE] Écran: 6,7"" LCD IPS (720 x 1600 pixels), 120 Hz - Processeur: Mediatek Helio G81 Ultimate (12 nm) Octa-core - Système d'exploitation: XOS 15.1 propulsé par Android™ 15 - RAM: 6 Go - Stockage : 128 Go - Appareil photo arr... 419,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-hot-60i-4g-6go-128go-shadow-blue.html
