model,brand,reference,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone LESIA YOUNG 3  2+2 Go 32Go - Dark bleu,Lesia,YOUNG3-2/32-DBLUE,229.900,209.000,4,32,5000,6.56,,5,,Android 13,Octa Core,Dark bleu,,Oui,"Smartphone LESIA YOUNG 3  2+2 Go 32Go - Dark bleu [YOUNG3-2/32-DBLUE] Ecran 6,56"" pouces HD+ IPS - Processeur: Octa-Core - Système d’exploitation : Android 13 - Mémoire : 4Go (2 + 2 extensible) - Stockage: 32Go - Appareil photo arrière : AI 8 Mégapixels - Avant : 5 Mégapixels - Capacité de... 209,000 DT 229,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-3-2-2-go-32go-dark-bleu.html
Smartphone Lesia Young 9 6Go 32Go 3G - Bleu Foncé,Lesia,YOUNG9-6/32-DBLUE,219.900,,6,32,5000,6.56,,,3G,,,Bleu Foncé,,Oui,"Smartphone Lesia Young 9 6Go 32Go 3G - Bleu Foncé [YOUNG9-6/32-DBLUE] Smartphone Lesia Young 9 - Écran : 6,56"" HD - Processeur : SC7731E - Système d’exploitation : Android - Mémoire : 6 Go - Stockage : 32 Go - offre un confort visuel adapté à la consultation de contenus multimédias - Appar... 219,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-young-9-6go-32go-6-56-hd-bleu-fonce.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Noir,Tecno,TECNO-BG6M-2/64-BK,259.000,,2,64,5000,6.6,,,,,Octa Core,Noir,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Noir [TECNO-BG6M-2/64-BK] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/tecno-spark-go-2025-bg6m-2go-64go-noir.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Blanc,Tecno,TECNO-BG6M-2/64-WHITE,259.000,,2,64,5000,6.6,,,,,Octa Core,Blanc,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Blanc [TECNO-BG6M-2/64-WHITE] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-go-2025-bg6m-2-2go-64go-blanc.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Gris,Tecno,TECNO-BG6M-2/64-GREY,259.000,,2,64,5000,6.6,,,,,Octa Core,Gris,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Gris [TECNO-BG6M-2/64-GREY] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-go-2025-bg6m-2-2go-64go-gris.html
Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Bleu,Tecno,TECNO-BG6M-2/64-BLUE,259.000,,2,64,5000,6.6,,,,,Octa Core,Bleu,,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2+2Go 64Go - Bleu [TECNO-BG6M-2/64-BLUE] Écran 6,6 pouces HD+ Hole Screen (720 × 1600 pixels) 90 Hz - Processeur: Unisoc T606 Octa-core - Système d'exploitation: Android - Mémoire RAM: 2Go extensible jusqu’à 4 Go - Capacité de stockage: 64Go - Appareil photo ar... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-tecno-spark-go-2025-bg6m-2-2go-64go-bleu.html
Smartphone Lesia Bright - 4+4GO/64GO - Gold,Lesia,BRIGHT-4/64-GOLD,259.000,,4,64,5000,6.56,16,8,,,Octa Core,Gold,,Oui,"Smartphone Lesia Bright - 4+4GO/64GO - Gold [BRIGHT-4/64-GOLD] Ecran 6,56"" pouces HD - Processeur : Octa-Core - Mémoire RAM: 4Go + 4Go - Capacité Stockage : 64Go - Appareil Photo Avant: 8 Mégapixels - Appareil Photo Arrière: 16 Mégapixels + 2 Ring Light - Double SIM - Connectivités ... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-bright-3-4-4go-64go-gold.html
Smartphone Lesia Bright - 4+4GO/64GO - Dark Bleu,Lesia,BRIGHT-4/64-DBLUE,259.000,,4,64,5000,6.56,16,8,,,Octa Core,Dark Bleu,,Oui,"Smartphone Lesia Bright - 4+4GO/64GO - Dark Bleu [BRIGHT-4/64-DBLUE] Ecran 6,56"" pouces HD - Processeur : Octa-Core - Mémoire RAM: 4Go + 4Go - Capacité Stockage : 64Go - Appareil Photo Avant: 8 Mégapixels - Appareil Photo Arrière: 16 Mégapixels + 2 Ring Light - Double SIM - Connectivités ... 259,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-bright-4-4go-64go-dark-bleu.html
Smartphone LESIA Bright 4G  8Go 64Go - Sky blue,Lesia,BRIGHT-4/64-SBLUE,259.900,,4,64,5000,6.56,16,8,4G,,Octa Core,Sky blue,,Oui,"Smartphone LESIA Bright 4G  8Go 64Go - Sky blue [BRIGHT-4/64-SBLUE] Ecran 6,56"" pouces HD - Processeur : Octa-Core - Mémoire RAM: 4Go + 4Go - Capacité Stockage : 64Go - Appareil Photo Avant: 8 Mégapixels - Appareil Photo Arrière : 16 Mégapixels + 2 Ring Light - Double SIM - Connectivités... 259,900 DT Disponibilité En stock",https://www.mytek.tn/smartphone-lesia-bright-4g-8go-64go-sky-blue.html
Smartphone INFINIX Smart 10 3/64G - TWILIGHT GOLD,Infinix,X6725-SMART10-3/64-TGOLD,265.000,,3,64,5000,6.7,8,,,Android 15,Octa Core,TWILIGHT GOLD,,Oui,"Smartphone INFINIX Smart 10 3/64G - TWILIGHT GOLD [X6725-SMART10-3/64-TGOLD] Écran: 6.7"" LCD IPS (720x1600 pixels), 120Hz - Processeur: Unisoc T7250 (12 nm) Octa-core - Système d'exploitation: Android 15/15 (édition Go), XOS 15.1 - RAM: 3Go - Stockage: 64Go - Appareil Photo Arrière: 8MP , Frontal... 265,000 DT Disponibilité En stock",https://www.mytek.tn/smartphone-infinix-smart-10-3-64g-twilight-gold.html
