name,brand,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,price,url,source,specs_sum_normalized,value_score,price_tier,ram_per_1k_tnd,storage_per_1k_tnd,battery_per_1k_tnd,camera_rear_per_1k_tnd,camera_total_mp,storage_ram_ratio,battery_per_inch,total_specs_score,is_5g,is_flagship_brand,is_latest_android
Smartphone Itel A58 PRO / 4G / Double SIM / 2 Go / 32 Go / Noir,Itel mobile,2.0,32.0,4000.0,6.0,5.0,5.0,4G,Android 11,Quad Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/58451-smartphone-itel-a58-pro-4g-double-sim-2-go-32-go-noir.html,Tunisianet,0.15135030686068027,0.6078325576734147,Budget,8.032128514056225,128.5140562248996,16064.25702811245,20.080321285140563,10.0,16.0,666.6666666666666,0.08652523343076632,0,0,0
Smartphone Itel A58 PRO / 4G / Double SIM / 2 Go / 32 Go / Cyan,Itel mobile,2.0,32.0,4000.0,6.0,5.0,5.0,4G,Android 11,Quad Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/58452-smartphone-itel-a58-pro-4g-double-sim-2-go-32-go-cyan.html,Tunisianet,0.15135030686068027,0.6078325576734147,Budget,8.032128514056225,128.5140562248996,16064.25702811245,20.080321285140563,10.0,16.0,666.6666666666666,0.08652523343076632,0,0,0
Smartphone ITEL A60S 2Go / 64Go / Noir,Itel mobile,2.0,64.0,5000.0,6.0,50.0,5.0,4G,Android 12,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/66081-smartphone-itel-a60s-2go-64go-vert.html,Tunisianet,0.2289845290390687,0.9196165824862197,Budget,8.032128514056225,257.0281124497992,20080.321285140562,200.80321285140562,55.0,32.0,833.3333333333334,0.17419672584954266,0,0,0
Smartphone ITEL A60S 2Go / 64Go / VERT,Itel mobile,2.0,64.0,5000.0,6.0,50.0,5.0,4G,Android 12,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/66080-smartphone-itel-a60s-2go-64go-vert.html,Tunisianet,0.2289845290390687,0.9196165824862197,Budget,8.032128514056225,257.0281124497992,20080.321285140562,200.80321285140562,55.0,32.0,833.3333333333334,0.17419672584954266,0,0,0
Smartphone TCL 403 / 4G  / 2 Go / 32 Go / Mauve,TCL,2.0,32.0,3000.0,6.7,8.0,5.0,4G,Android 12,Quad Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/64042-smartphone-tcl-403-4g-2-go-32-go-mauve.html,Tunisianet,0.18658228601280455,0.7493264498506207,Budget,8.032128514056225,128.5140562248996,12048.192771084337,32.1285140562249,13.0,16.0,447.76119402985074,0.08216114017375109,0,0,0
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Noir,TECNO,4.0,64.0,5000.0,6.0,13.0,8.0,4G,Android 13,Octa Core,249.0,https://www.tunisianet.com.tn/smartphone-tunisie/87976-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-noir.html,Tunisianet,0.20843085885304558,0.8370717223013878,Budget,16.06425702811245,257.0281124497992,20080.321285140562,52.208835341365464,21.0,16.0,833.3333333333334,0.14347840005768742,0,0,1
Smartphone Lesia Bright 3 / 4Go/64Go  / Bleu Ciel,Lesia,8.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 13,Octa Core,259.0,https://www.tunisianet.com.tn/smartphone-tunisie/92342-smartphone-lesia-bright-3-4go64go-bleu-ciel.html,Tunisianet,0.26072489050079234,1.006659808883368,Budget,30.888030888030887,247.1042471042471,19305.019305019305,50.19305019305019,18.0,8.0,746.2686567164179,0.15761023700299187,0,0,1
Smartphone Lesia Bright 3 / 4Go/64Go  / Bleu Nuit,Lesia,8.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 13,Octa Core,259.0,https://www.tunisianet.com.tn/smartphone-tunisie/92351-smartphone-lesia-bright-3-4go64go-bleu-nuit.html,Tunisianet,0.26072489050079234,1.006659808883368,Budget,30.888030888030887,247.1042471042471,19305.019305019305,50.19305019305019,18.0,8.0,746.2686567164179,0.15761023700299187,0,0,1
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Bleu,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87267-smartphone-infinix-smart-10-4g-3-go-64-go-bleu.html,Tunisianet,0.2564621361412887,0.9677816458161838,Budget,11.320754716981131,241.50943396226413,18867.924528301886,30.188679245283016,16.0,21.333333333333332,757.5757575757576,0.15364947253526143,0,0,1
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Silver,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87268-smartphone-infinix-smart-10-4g-3-go-64-go-silver.html,Tunisianet,0.2564621361412887,0.9677816458161838,Budget,11.320754716981131,241.50943396226413,18867.924528301886,30.188679245283016,16.0,21.333333333333332,757.5757575757576,0.15364947253526143,0,0,1
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Gold,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87269-smartphone-infinix-smart-10-4g-3-go-64-go-gold.html,Tunisianet,0.2564621361412887,0.9677816458161838,Budget,11.320754716981131,241.50943396226413,18867.924528301886,30.188679245283016,16.0,21.333333333333332,757.5757575757576,0.15364947253526143,0,0,1
Smartphone Infinix SMART 10 4G / 3 Go / 64 Go / Noir,Infinix,3.0,64.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,265.0,https://www.tunisianet.com.tn/smartphone-tunisie/87258-smartphone-infinix-smart-10-4g-3-go-64-go-noir.html,Tunisianet,0.2564621361412887,0.9677816458161838,Budget,11.320754716981131,241.50943396226413,18867.924528301886,30.188679245283016,16.0,21.333333333333332,757.5757575757576,0.15364947253526143,0,0,1
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Vert,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87878-smartphone-tecno-spark-go-2-km4-3-go-64-go-vert.html,Tunisianet,0.2668759912919861,0.9921040568475319,Budget,11.152416356877323,237.9182156133829,18587.360594795537,48.3271375464684,21.0,21.333333333333332,749.6251874062968,0.1606197829266245,0,0,1
Smartphone Infinix SMART 9 4G / 3 Go / 64 Go / Silver,Infinix,3.0,3.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/79418-smartphone-infinix-smart-9-4g-3-go-64-go-silver.html,Tunisianet,0.24084001093012244,0.8953160257625369,Budget,11.152416356877323,11.152416356877323,18587.360594795537,48.3271375464684,21.0,1.0,757.5757575757576,0.12893423343646068,0,0,1
SMARTPHONE REALME NOTE 60X  3/64G / Vert,realme,3.0,64.0,5000.0,6.7,50.0,5.0,4G,Android 14,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87881-smartphone-realme-note-60x-364g-vert.html,Tunisianet,0.2907148351966194,1.0807242944112245,Budget,11.152416356877323,237.9182156133829,18587.360594795537,185.87360594795538,55.0,21.333333333333332,746.2686567164179,0.19310797455955298,0,0,1
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Blanc,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87879-smartphone-tecno-spark-go-2-km4-3-go-64-go-blanc.html,Tunisianet,0.2668759912919861,0.9921040568475319,Budget,11.152416356877323,237.9182156133829,18587.360594795537,48.3271375464684,21.0,21.333333333333332,749.6251874062968,0.1606197829266245,0,0,1
SMARTPHONE REALME NOTE 60X  3/64G / Noir,realme,3.0,64.0,5000.0,6.7,50.0,5.0,4G,Android 14,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87880-smartphone-realme-note-60x-364g-noir.html,Tunisianet,0.2907148351966194,1.0807242944112245,Budget,11.152416356877323,237.9182156133829,18587.360594795537,185.87360594795538,55.0,21.333333333333332,746.2686567164179,0.19310797455955298,0,0,1
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Gris,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87877-smartphone-tecno-spark-go-2-km4-3-go-64-go-gris.html,Tunisianet,0.2668759912919861,0.9921040568475319,Budget,11.152416356877323,237.9182156133829,18587.360594795537,48.3271375464684,21.0,21.333333333333332,749.6251874062968,0.1606197829266245,0,0,1
Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Noir,TECNO,3.0,64.0,5000.0,6.67,13.0,8.0,4G,Android 15,Octa Core,269.0,https://www.tunisianet.com.tn/smartphone-tunisie/87876-smartphone-tecno-spark-go-2-km4-3-go-64-go-noir.html,Tunisianet,0.2668759912919861,0.9921040568475319,Budget,11.152416356877323,237.9182156133829,18587.360594795537,48.3271375464684,21.0,21.333333333333332,749.6251874062968,0.1606197829266245,0,0,1
SMARTPHONE TCL 503 6GB / 64GB / Blue,TCL,6.0,64.0,5000.0,6.7,8.0,5.0,4G,Android 12,Octa Core,279.0,https://www.tunisianet.com.tn/smartphone-tunisie/82742-smartphone-tcl-503-3gb3gb64gb-blue.html,Tunisianet,0.25579779145604625,0.916837962208051,Budget,21.50537634408602,229.3906810035842,17921.146953405016,28.673835125448026,13.0,10.666666666666666,746.2686567164179,0.151501639717924,0,0,0
Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Bleu,Xiaomi,3.0,64.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/86975-smartphone-xiaomi-redmi-a5-3-go-64-go-bleu.html,Tunisianet,0.2941255918628208,1.0177356119820788,Budget,10.380622837370243,221.45328719723184,17993.07958477509,110.72664359861592,40.0,21.333333333333332,772.6597325408618,0.1868583235753285,0,1,1
Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Gold,Xiaomi,3.0,64.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/86973-smartphone-xiaomi-redmi-a5-3-go-64-go-gold.html,Tunisianet,0.2941255918628208,1.0177356119820788,Budget,10.380622837370243,221.45328719723184,17993.07958477509,110.72664359861592,40.0,21.333333333333332,772.6597325408618,0.1868583235753285,0,1,1
SMARTPHONE REALME NOTE 50  3/64G  /  Noir,realme,3.0,64.0,5000.0,6.7,50.0,5.0,4G,Android 13,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/76631-smartphone-realme-note-50-364g-bleu.html,Tunisianet,0.2907148351966194,1.0059336858014511,Budget,10.380622837370243,221.45328719723184,17301.038062283737,173.01038062283737,55.0,21.333333333333332,746.2686567164179,0.19310797455955298,0,0,1
Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Noir,Xiaomi,3.0,64.0,5200.0,6.73,32.0,8.0,4G,Android 15,Octa Core,289.0,https://www.tunisianet.com.tn/smartphone-tunisie/86974-smartphone-xiaomi-redmi-a5-3-go-64-go-noir.html,Tunisianet,0.2941255918628208,1.0177356119820788,Budget,10.380622837370243,221.45328719723184,17993.07958477509,110.72664359861592,40.0,21.333333333333332,772.6597325408618,0.1868583235753285,0,1,1
SMARTPHONE HONOR PLAY10 3Go / 64Go / 4G / PURPLE,Honor,3.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 15,MediaTek,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/88667-smartphone-honor-play10-3go-64go-4g-purple.html,Tunisianet,0.25909090357268777,0.8665247611126682,Budget,10.033444816053512,214.04682274247492,16722.408026755853,43.47826086956522,18.0,21.333333333333332,746.2686567164179,0.15515925661083502,0,0,1
SMARTPHONE HONOR PLAY10  3Go / 64Go / 4G / CYAN,Honor,3.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 15,MediaTek,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/88666-smartphone-honor-play10-3go-64go-4g-cyan.html,Tunisianet,0.25909090357268777,0.8665247611126682,Budget,10.033444816053512,214.04682274247492,16722.408026755853,43.47826086956522,18.0,21.333333333333332,746.2686567164179,0.15515925661083502,0,0,1
Smartphone Itel S18 / 4 Go / 64 GO / Noir,Itel mobile,64.0,64.0,5000.0,6.0,8.0,8.0,4G,Android 11,Octa Core,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/62360-smartphone-itel-s18-4-go-64-go-noir.html,Tunisianet,0.22376519771679618,0.7483785876815926,Budget,214.04682274247492,214.04682274247492,16722.408026755853,26.755852842809364,16.0,1.0,833.3333333333334,0.1677619596353647,0,0,0
SMARTPHONE HONOR PLAY10  3Go / 64Go / 4G / BLACK,Honor,3.0,64.0,5000.0,6.7,13.0,5.0,4G,Android 15,MediaTek,299.0,https://www.tunisianet.com.tn/smartphone-tunisie/88665-smartphone-honor-play10-3go-64go-4g-black.html,Tunisianet,0.25909090357268777,0.8665247611126682,Budget,10.033444816053512,214.04682274247492,16722.408026755853,43.47826086956522,18.0,21.333333333333332,746.2686567164179,0.15515925661083502,0,0,1
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Noir,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87270-smartphone-infinix-smart-10-4g-3-go-64-go-noir.html,Tunisianet,0.2776630365927935,0.8704170426106379,Budget,12.539184952978056,401.2539184952978,15673.98119122257,25.078369905956112,16.0,32.0,757.5757575757576,0.18545082321251866,0,0,1
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Bleu,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87283-smartphone-infinix-smart-10-4g-3-go-64-go-noir.html,Tunisianet,0.2776630365927935,0.8704170426106379,Budget,12.539184952978056,401.2539184952978,15673.98119122257,25.078369905956112,16.0,32.0,757.5757575757576,0.18545082321251866,0,0,1
Smartphone Itel S23 / 4 Go / 128 GO / Blanc,Itel mobile,4.0,4.0,5000.0,6.0,50.0,8.0,4G,Android 11,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/64983-smartphone-itel-s23-4-go-128-go-blanc.html,Tunisianet,0.22048531885271105,0.6911765481276209,Budget,12.539184952978056,12.539184952978056,15673.98119122257,156.7398119122257,58.0,1.0,833.3333333333334,0.15207291057000616,0,0,0
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Silver,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87284-smartphone-infinix-smart-10-4g-4-go-128-go-silver.html,Tunisianet,0.2776630365927935,0.8704170426106379,Budget,12.539184952978056,401.2539184952978,15673.98119122257,25.078369905956112,16.0,32.0,757.5757575757576,0.18545082321251866,0,0,1
Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Gold,Infinix,4.0,128.0,5000.0,6.6,8.0,8.0,4G,Android 15,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/87285-smartphone-infinix-smart-10-4g-4-go-128-go-gold.html,Tunisianet,0.2776630365927935,0.8704170426106379,Budget,12.539184952978056,401.2539184952978,15673.98119122257,25.078369905956112,16.0,32.0,757.5757575757576,0.18545082321251866,0,0,1
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Silver,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79415-smartphone-infinix-smart-9-4g-4-go-128-go-silver.html,Tunisianet,0.2414929661761478,0.7570312419314977,Budget,12.539184952978056,12.539184952978056,15673.98119122257,40.75235109717868,21.0,1.0,757.5757575757576,0.12991366630549872,0,0,1
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Gold,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79414-smartphone-infinix-smart-9-4g-4-go-128-go-gold.html,Tunisianet,0.2414929661761478,0.7570312419314977,Budget,12.539184952978056,12.539184952978056,15673.98119122257,40.75235109717868,21.0,1.0,757.5757575757576,0.12991366630549872,0,0,1
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Vert,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79413-smartphone-infinix-smart-9-4g-4-go-128-go-vert.html,Tunisianet,0.2414929661761478,0.7570312419314977,Budget,12.539184952978056,12.539184952978056,15673.98119122257,40.75235109717868,21.0,1.0,757.5757575757576,0.12991366630549872,0,0,1
Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Noir,Infinix,4.0,4.0,5000.0,6.6,13.0,8.0,4G,Android 14,Octa Core,319.0,https://www.tunisianet.com.tn/smartphone-tunisie/79411-smartphone-infinix-smart-9-4g-4-go-128-go-noir.html,Tunisianet,0.2414929661761478,0.7570312419314977,Budget,12.539184952978056,12.539184952978056,15673.98119122257,40.75235109717868,21.0,1.0,757.5757575757576,0.12991366630549872,0,0,1
Smartphone Tecno SPARK Go 1 4G / 4 Go / 128 Go / Noir,TECNO,4.0,128.0,5000.0,6.78,13.0,8.0,4G,Android 14,Octa Core,325.0,https://www.tunisianet.com.tn/smartphone-tunisie/79275-smartphone-tecno-spark-go-1-4g-4-go-128-go-noir.html,Tunisianet,0.2977260145505084,0.9160800447707951,Budget,12.307692307692307,393.8461538461538,15384.615384615385,40.0,21.0,32.0,737.4631268436578,0.19531587044598694,0,0,1
