model,brand,sku,price_dt,old_price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone INFINIX Hot 60I 4G 6Go 128Go – Titanium Silver,Infinix,165322,419.000,,6,128,5160,6.7,50,8,4G,Android 15,MediaTek,Titanium Silver,1 an,Oui,"– Écran: 6,7″ LCD IPS (720 x 1600 pixels), 120 Hz – Processeur: MediaTek Helio G81 Ultimate (Octa-core, 12 nm) – Système d’exploitation: Android 15 (édition Go), XOS 15.1 – RAM: 6 Go – Stockage : 128 Go – Appareil photo arrière: 50 MP – Appareil photo Frontale: 8 MP – Connectivité: Wi-Fi 5, 4G, Bluetooth 5.3, NFC, USB Type-C – Batterie: 5160 mAh, charge rapide 45 W – Capteurs: Empreintes digitales (latéral), accéléromètre, gyroscope, boussole, proximité – Résistance: IP64 (poussière et éclaboussures) – Couleur: Silver – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-4g-6go-128go-titanium-silver-tunisie/
Smartphone INFINIX Hot 60I 4G 6Go 128Go – Sleek Black,Infinix,165339,419.000,,6,128,5160,6.7,50,8,4G,Android 15,MediaTek,Sleek Black,1 an,Oui,"– Écran: 6,7″ LCD IPS (720 x 1600 pixels), 120 Hz – Processeur: MediaTek Helio G81 Ultimate (Octa-core, 12 nm) – Système d’exploitation: Android 15 (édition Go), XOS 15.1 – RAM: 6 Go – Stockage : 128 Go – Appareil photo arrière: 50 MP – Appareil photo Frontale: 8 MP – Connectivité: Wi-Fi 5, 4G, Bluetooth 5.3, NFC, USB Type-C – Batterie: 5160 mAh, charge rapide 45 W – Capteurs: Empreintes digitales (latéral), accéléromètre, gyroscope, boussole, proximité – Résistance: IP64 (poussière et éclaboussures) – Couleur: Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-4g-6go-128go-sleek-black-tunisie/
Smartphone HONOR X5C Plus 4G 4Go 128Go – Cyan,Honor,177431,419.000,,4,128,5260,6.74,50,5,4G,Android 15,MediaTek,Cyan,1 an,Oui,"– Écran : 6,74″ LCD TFT (720 x 1600 px), 90 Hz – Processeur: MediaTek Helio G81 Octa-core – Fréquence Processeur: 2×2,0 GHz Cortex-A75 et 6×1,7 GHz Cortex-A55 – Système d’exploitation: MagicOS 9.0 (Android 15) – Mémoire RAM: 4Go – Stockage: 128 Go – Appareil photo Arrière: 50 MP (f/1,8) – Appareil photo Frontale : 5 MP (f/2,2) – Connectivité: Wifi 4G et Bluetooth 5.1 – Double SIM – Capacité de la batterie: 5260mAh – Empreinte digitale (montée sur le côté), accéléromètre, capteur de gravité, capteur de proximité, capteur de luminosité ambiante – Couleur: Ocean Cyan – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-honor-x5c-plus-4g-4go-128go-cyan-tunisie/
Smartphone HONOR X5C Plus 4G 4Go 128Go –  Noir,Honor,177438,419.000,,4,128,5260,6.74,50,5,4G,Android 15,MediaTek,Noir,1 an,Oui,"– Écran : 6,74″ LCD TFT (720 x 1600 px), 90 Hz – Processeur: MediaTek Helio G81 Octa-core – Fréquence Processeur: 2×2,0 GHz Cortex-A75 et 6×1,7 GHz Cortex-A55 – Système d’exploitation: MagicOS 9.0 (Android 15) – Mémoire RAM: 4Go – Stockage: 128 Go – Appareil photo Arrière: 50 MP (f/1,8) – Appareil photo Frontale : 5 MP (f/2,2) – Connectivité: Wifi 4G et Bluetooth 5.1 – Double SIM – Capacité de la batterie: 5260mAh – Empreinte digitale (montée sur le côté), accéléromètre, capteur de gravité, capteur de proximité, capteur de luminosité ambiante – Couleur: Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-honor-x5c-plus-4g-4go-128go-noir-tunisie/
Smartphone Realme C61 6Go 128Go – Gold – REALME-C61-128-GD,Realme,REALME-C61-128-GD,459.000,459.000,6,128,5100,,50,5,,Android 14,Unisoc,Gold,2 An,Oui,"Smartphone Realme C61 6Go 128Go – Gold – Ecran : 6.74 Ips Lcd (720x 1600pixels), 90hz – Processeur : Unisoc Tiger T612 (12 Nm) Octa-core – Système D’exploitation : Android 14 – Mémoire : 6 Go – Stockage : 128 Go – Appareil Photo Arrière : 50 Mp + 0,08 Mp – Avant : 5 Mp – Capacité De Batterie : 5100 Mah, Charge Rapide 15 W – Connectivité: Wifi, Bluetooth 5.0, 4 G – Commandes Gestuelles – Boost Ia – Ip54 Résistant À L’eau Et À La Poussière – Double Sim – Couleur : Gold – Garantie : 2 Ans",https://bestbuytunisie.tn/smartphone-realme-c61-6go-128go-gold-realme-c61-128-gd-tunisie/
Smartphone Realme C61 6Go 128Go – Vert Foncé – REALME-C61-128-GN,Realme,REALME-C61-128-GN,459.000,459.000,6,128,5100,,50,5,,Android 14,Unisoc,Vert Foncé,2 An,Oui,"Smartphone Realme C61 6Go 128Go – Vert Foncé – Ecran : 6.74 Ips Lcd (720x 1600pixels), 90hz – Processeur : Unisoc Tiger T612 (12 Nm) Octa-core – Système D’exploitation : Android 14 – Mémoire : 6 Go – Stockage : 128 Go – Appareil Photo Arrière : 50 Mp + 0,08 Mp – Avant : 5 Mp – Capacité De Batterie : 5100 Mah, Charge Rapide 15 W – Connectivité: Wifi, Bluetooth 5.0, 4 G – Commandes Gestuelles – Boost Ia – Ip54 Résistant À L’eau Et À La Poussière – Double Sim – Couleur : Vert Foncé – Garantie : 2 Ans",https://bestbuytunisie.tn/smartphone-realme-c61-6go-128go-vert-fonce-realme-c61-128-gn-tunisie/
Smartphone Samsung Galaxy A07 4G 4Go – 128Go – Noir,Samsung,163011,429.000,,4,128,5000,6.7,50.0,8.0,4G,Android 15,MediaTek,Noir,1an,Oui,"Samsung A07 – Ecran : 6.7″  HD+ (720 x 1600 ) PLS LCD – Résolution : 720 x 1600 px -Taux de rafraîchissement : 90Hz – Processeur : Mediatek Helio G99 (6 nm) – Système d’exploitation : Android 15 – Mémoire : 4Go – Stockage : 128Go – Appareil photo arrière : 50.0 MP (F1.8) + 2.0 MP (F2.4) Auto Focus – Avant : 8.0 MP – Capacité de Batterie : 5000 mAh – Charge rapide : 45W – Connectivité: 4G, Wi-Fi, Bluetooth 5.3, USB Type-C – Résistance : IP54 protégé contre la poussière et résistant à l’eau (éclaboussures d’eau) -Sécurité : Empreinte digitale (montée sur le côté) -Capteurs : Accéléromètre, proximité – Couleur: Noir – Garantie: 1an",https://bestbuytunisie.tn/smartphone-samsung-galaxy-a07-4g-4go-128go-noir-tunisie/
Smartphone Samsung Galaxy A07 4G 4Go – 128Go – Violet,Samsung,163024,429.000,,4,128,5000,6.7,50.0,8.0,4G,Android 15,MediaTek,Violet,1an,Oui,"Samsung A07 – Ecran : 6.7″  HD+ (720 x 1600 ) PLS LCD – Résolution : 720 x 1600 px -Taux de rafraîchissement : 90Hz – Processeur : Mediatek Helio G99 (6 nm) – Système d’exploitation : Android 15 – Mémoire : 4Go – Stockage : 128Go – Appareil photo arrière : 50.0 MP (F1.8) + 2.0 MP (F2.4) Auto Focus – Avant : 8.0 MP – Capacité de Batterie : 5000 mAh – Charge rapide : 45W – Connectivité: 4G, Wi-Fi, Bluetooth 5.3, USB Type-C – Résistance : IP54 protégé contre la poussière et résistant à l’eau (éclaboussures d’eau) -Sécurité : Empreinte digitale (montée sur le côté) -Capteurs : Accéléromètre, proximité – Couleur: Violet – Garantie: 1an",https://bestbuytunisie.tn/smartphone-samsung-galaxy-a07-4g-4go-128go-violet-tunisie/
Smartphone Samsung Galaxy A07 4G 4Go – 128Go – Vert,Samsung,163025,429.000,,4,128,5000,6.7,50.0,8.0,4G,Android 15,MediaTek,Vert,1an,Oui,"Samsung A07 – Ecran : 6.7″  HD+ (720 x 1600 ) PLS LCD – Résolution : 720 x 1600 px -Taux de rafraîchissement : 90Hz – Processeur : Mediatek Helio G99 (6 nm) – Système d’exploitation : Android 15 – Mémoire : 4Go – Stockage : 128Go – Appareil photo arrière : 50.0 MP (F1.8) + 2.0 MP (F2.4) Auto Focus – Avant : 8.0 MP – Capacité de Batterie : 5000 mAh – Charge rapide : 45W – Connectivité: 4G, Wi-Fi, Bluetooth 5.3, USB Type-C – Résistance : IP54 protégé contre la poussière et résistant à l’eau (éclaboussures d’eau) -Sécurité : Empreinte digitale (montée sur le côté) -Capteurs : Accéléromètre, proximité – Couleur: vert – Garantie: 1an",https://bestbuytunisie.tn/smartphone-samsung-galaxy-a07-4g-4go-128go-vert-tunisie/
Smartphone Xiaomi Redmi 15C 4Go 128Go Noir,Xiaomi,164728,429.000,,4,128,6000,,50,8,4G,Android 15,MediaTek,Noir,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 4Go extensible jusqu’à 8Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Noir – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-4go-128go-noir-tunisie/
Smartphone Xiaomi Redmi 15C 4Go 128Go Vert,Xiaomi,164764,429.000,,4,128,6000,,50,8,4G,Android 15,MediaTek,Vert,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 4Go extensible jusqu’à 8Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Vert – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-4go-128go-vert-tunisie/
Smartphone Xiaomi Redmi 15C 4Go 128Go Orange,Xiaomi,164773,429.000,,4,128,6000,,50,8,4G,Android 15,MediaTek,Orange,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 4Go extensible jusqu’à 8Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Orange – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-4go-128go-orange-tunisie/
Smartphone Xiaomi Redmi 15C 4Go 128Go Bleu,Xiaomi,164801,429.000,,4,128,6000,,50,8,4G,Android 15,MediaTek,Bleu,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 4Go extensible jusqu’à 8Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Bleu – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-4go-128go-bleu-tunisie/
Smartphone Infinix Hot 60i 5G 4Go 128Go -Noir,Infinix,171135,449.000,,4,128,6000,6.75,50,5,5G,Android 15,MediaTek,Noir,1an,Oui,"Smartphone Infinix Hot 60I 5G: – Écran: 6,75″ LCD IPS (720 x 1600 pixels HD+), 120 Hz – RAM : 4 Go – Mémoire: 128 Go – Processeur: MediaTek Dimension 6400 – Système d’exploitation: Android 15 ,  XOS 15.1 – Caméra arrière: 50 MP – Frontale: 5 MP – Connectivité : Wifi, 5G, Bluetooth 5.3 – Capteurs: Empreintes digitales, Accéléromètre, Boussole, Gyroscope, Proximité – Batterie: 6000 mAh – Mise en charge: 18W charge rapide – Résistant à la poussière et aux éclaboussures : IP64 – Double SIM – Couleur : Noir – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-5g-4go-128go-noir-tunisie/
Smartphone Infinix Hot 60i 5G 4Go 128Go -Bleu,Infinix,171156,449.000,,4,128,6000,6.75,50,5,5G,Android 15,MediaTek,Bleu,1an,Oui,"Smartphone Infinix Hot 60I 5G: – Écran: 6,75″ LCD IPS (720 x 1600 pixels HD+), 120 Hz – RAM : 4 Go – Mémoire: 128 Go – Processeur: MediaTek Dimension 6400 – Système d’exploitation: Android 15 ,  XOS 15.1 – Caméra arrière: 50 MP – Frontale: 5 MP – Connectivité : Wifi, 5G, Bluetooth 5.3 – Capteurs: Empreintes digitales, Accéléromètre, Boussole, Gyroscope, Proximité – Batterie: 6000 mAh – Mise en charge: 18W charge rapide – Résistant à la poussière et aux éclaboussures : IP64 – Double SIM – Couleur : Bleu – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-5g-4go-128go-bleu-tunisie/
Smartphone Infinix Hot 60i 5G 4Go 128Go -Vert,Infinix,171157,449.000,,4,128,6000,6.75,50,5,5G,Android 15,MediaTek,Vert,1an,Oui,"Smartphone Infinix Hot 60I 5G: – Écran: 6,75″ LCD IPS (720 x 1600 pixels HD+), 120 Hz – RAM : 4 Go – Mémoire: 128 Go – Processeur: MediaTek Dimension 6400 – Système d’exploitation: Android 15 ,  XOS 15.1 – Caméra arrière: 50 MP – Frontale: 5 MP – Connectivité : Wifi, 5G, Bluetooth 5.3 – Capteurs: Empreintes digitales, Accéléromètre, Boussole, Gyroscope, Proximité – Batterie: 6000 mAh – Mise en charge: 18W charge rapide – Résistant à la poussière et aux éclaboussures : IP64 – Double SIM – Couleur : Vert – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-5g-4go-128go-vert-tunisie/
Smartphone Infinix Hot 60i 5G 4Go 128Go -Rouge,Infinix,171158,449.000,,4,128,6000,6.75,50,5,5G,Android 15,MediaTek,Rouge,1an,Oui,"Smartphone Infinix Hot 60I 5G: – Écran: 6,75″ LCD IPS (720 x 1600 pixels HD+), 120 Hz – RAM : 4 Go – Mémoire: 128 Go – Processeur: MediaTek Dimension 6400 – Système d’exploitation: Android 15 ,  XOS 15.1 – Caméra arrière: 50 MP – Frontale: 5 MP – Connectivité : Wifi, 5G, Bluetooth 5.3 – Capteurs: Empreintes digitales, Accéléromètre, Boussole, Gyroscope, Proximité – Batterie: 6000 mAh – Mise en charge: 18W charge rapide – Résistant à la poussière et aux éclaboussures : IP64 – Double SIM – Couleur : Rouge – Garantie: 1an",https://bestbuytunisie.tn/smartphone-infinix-hot-60i-5g-4go-128go-rouge-tunisie/
Smartphone Tecno Spark 20C 4Go – 256Go – Vert,Tecno,161864,459.000,,4,256,5000,6.6,50,8.0,4G,Android 13,MediaTek,Vert,1 an,Oui,"– Écran: 6.6″HD+ (720 x 1612pixels) – Processeur: Mediatek Octa Core (2.2 GHz Cortex-A53) – Système d’exploitation: Android 13 – Mémoire RAM: 4Go – Stockage: 256Go – Appareil Photo Arrière: Dual 50MP + AI, double flash – Appareil Photo Frontale: 8.0 MP, double flash – Connectivité: 4G, Wifi et Bluetooth – Capacité de Batterie: 5000mAh – Charge rapide 18W – Empreinte digitale – Son stéréo à double haut-parleur par DTS 400% de gros volume – Couleur: Vert – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-tecno-spark-20c-4go-256go-vert-tunisie/
Smartphone Tecno Spark 20C 4Go – 256Go – Noir,Tecno,161865,459.000,,4,256,5000,6.6,50,8.0,4G,Android 13,MediaTek,Noir,1 an,Oui,"– Écran: 6.6″HD+ (720 x 1612pixels) – Processeur: Mediatek Octa Core (2.2 GHz Cortex-A53) – Système d’exploitation: Android 13 – Mémoire RAM: 4Go – Stockage: 256Go – Appareil Photo Arrière: Dual 50MP + AI, double flash – Appareil Photo Frontale: 8.0 MP, double flash – Connectivité: 4G, Wifi et Bluetooth – Capacité de Batterie: 5000mAh – Charge rapide 18W – Empreinte digitale – Son stéréo à double haut-parleur par DTS 400% de gros volume – Couleur: Noir – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-tecno-spark-20c-4go-256go-noir-tunisie/
Smartphone Tecno Spark 20C 4Go – 256Go – Blanc,Tecno,161866,459.000,,4,256,5000,6.6,50,8.0,4G,Android 13,MediaTek,Blanc,1 an,Oui,"– Écran: 6.6″HD+ (720 x 1612pixels) – Processeur: Mediatek Octa Core (2.2 GHz Cortex-A53) – Système d’exploitation: Android 13 – Mémoire RAM: 4Go – Stockage: 256Go – Appareil Photo Arrière: Dual 50MP + AI, double flash – Appareil Photo Frontale: 8.0 MP, double flash – Connectivité: 4G, Wifi et Bluetooth – Capacité de Batterie: 5000mAh – Charge rapide 18W – Empreinte digitale – Son stéréo à double haut-parleur par DTS 400% de gros volume – Couleur: Blanc – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-tecno-spark-20c-4go-256go-blanc-tunisie/
Smartphone Xiaomi Redmi 15C 6Go 128Go Orange,Xiaomi,164810,469.000,,6,128,6000,,50,8,4G,Android 15,MediaTek,Orange,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 6Go extensible jusqu’à 12Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Orange – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-6go-128go-orange-tunisie/
Smartphone Xiaomi Redmi 15C 6Go 128Go Noir,Xiaomi,164819,469.000,,6,128,6000,,50,8,4G,Android 15,MediaTek,Noir,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 6Go extensible jusqu’à 12Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Noir – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-6go-128go-noir-tunisie/
Smartphone Xiaomi Redmi 15C 6Go 128Go Vert,Xiaomi,164828,469.000,,6,128,6000,,50,8,4G,Android 15,MediaTek,Vert,1an,Oui,"– Ecran : LCD IPS, Dot Drop 6.9″ – Résolution : 720 x 1600 pixels – Processeur : MediaTek Helio G81-Ultra (12 nm) Octa-Core – Système d’exploitation :  Android 15,HyperOS 2 – Mémoire : 6Go extensible jusqu’à 12Go – Stockage : 128Go – Appareil photo arrière : 50MP f/1,8 – Appareil photo frontale :  8MP f/2,0 – Capacité de Batterie : 6000 mAh – Charge rapide : 33W – Connectivité: réseau 4G , Wi-Fi , Bluetooth 5.4, NFC, Prise casque 3.5 mm – Empreinte digitale – Résistant aux éclaboussures, à l’eau et à la poussière IP64 – Double SIM – Couleur: Vert – Garantie: 1an",https://bestbuytunisie.tn/smartphone-xiaomi-redmi-15c-6go-128go-vert-tunisie/
Smartphone Oppo A6x 4G 4Go 128Go – Violet,OPPO,175182,479.000,,4,128,6100,6.75,,5,4G,Android 15,Snapdragon,Violet,2 an,Oui,"Oppo A6x -Ecran : 6,75 pouces LCD , HD+ (1570 × 720 Pixels), 120Hz – Processeur : Qualcomm Snapdragon 685, 8 cœurs – Système d’exploitation : Android 15 , ColorOS 15.0 – Mémoire : 4Go – Stockage : 128Go – Appareil photo arrière : Grand-angle : 13 MP – Avant : 5 MP – Capacité de Batterie : 6100 mAh -Charge 15W – Recharge inversée filaire – Connectivité : 4G, Wifi, Bluetooth 5.0 – Double SIM – Capteurs : Capteur de proximité , Capteur de lumière ambiante , E-boussole , Accéléromètre – Capteur d’empreintes digitales latéral – Reconnaissance faciale – Poids : 205 g – Couleur : Violet – Garantie: 2 ans",https://bestbuytunisie.tn/smartphone-oppo-a6x-4g-4go-128go-violet-tunisie/
Smartphone Oppo A6x 4G 4Go 128Go – Bleu,OPPO,175317,479.000,,4,128,6100,6.75,,5,4G,Android 15,Snapdragon,Bleu,2 an,Oui,"Oppo A6x -Ecran : 6,75 pouces LCD , HD+ (1570 × 720 Pixels), 120Hz – Processeur : Qualcomm Snapdragon 685, 8 cœurs – Système d’exploitation : Android 15 , ColorOS 15.0 – Mémoire : 4Go – Stockage : 128Go – Appareil photo arrière : Grand-angle : 13 MP – Avant : 5 MP – Capacité de Batterie : 6100 mAh -Charge 15W – Recharge inversée filaire – Connectivité : 4G, Wifi, Bluetooth 5.0 – Double SIM – Capteurs : Capteur de proximité , Capteur de lumière ambiante , E-boussole , Accéléromètre – Capteur d’empreintes digitales latéral – Reconnaissance faciale – Poids : 205 g – Couleur : Bleu – Garantie: 2 ans",https://bestbuytunisie.tn/smartphone-oppo-a6x-4g-4go-128go-bleu-tunisie/
Smartphone VIVO Y21D 6Go 128Go – Rouge Corail,Vivo,180711,479.000,,6,128,6500,6.68,50,5,,Android 15,Octa Core,Rouge Corail,1 an,Oui,"VIVO Y21D – Ecran : 6,68″ AMOLED (1608 × 720 pixels), 90 Hz, 1000 nits – Protection certifiée SGS Gold Label Five-Star – Processeur: QT7225 (12 nm) Octa-core – Système d’exploitation: Android 15, Funtouch OS 15 – RAM: 6 Go – Stockage: 128 Go – Appareil Photos Arrière: 50MP + 0.08MP – Appareil Photos Frontale: 5MP – Connectivité: Wifi (2,4 GHz, 5 GHz) et Bluetooth 5.2 – Batterie: 6500 mAh – Puissance de charge: 44W – Empreinte digitale – Résistant à la poussière et à l’eau: I P69+1, IP692 et IP6892 – Double SIM – Couleur : Rouge – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-vivo-y21d-6go-128go-rouge-corail-tunisie/
Smartphone VIVO Y21D 6Go 128Go – Vert Jade,Vivo,180712,479.000,,6,128,6500,6.68,50,5,,Android 15,Octa Core,Vert Jade,1 an,Oui,"VIVO Y21D – Ecran : 6,68″ AMOLED (1608 × 720 pixels), 90 Hz, 1000 nits – Protection certifiée SGS Gold Label Five-Star – Processeur: QT7225 (12 nm) Octa-core – Système d’exploitation: Android 15, Funtouch OS 15 – RAM: 6 Go – Stockage: 128 Go – Appareil Photos Arrière: 50MP + 0.08MP – Appareil Photos Frontale: 5MP – Connectivité: Wifi (2,4 GHz, 5 GHz) et Bluetooth 5.2 – Batterie: 6500 mAh – Puissance de charge: 44W – Empreinte digitale – Résistant à la poussière et à l’eau: I P69+1, IP692 et IP6892 – Double SIM – Couleur : Rouge – Garantie: 1 an",https://bestbuytunisie.tn/smartphone-vivo-y21d-6go-128go-vert-jade-tunisie/
Smartphone Realme C61 8Go 256Go – Vert Foncé – REALME-C61-256-GN,Realme,REALME-C61-256-GN,559.000,559.000,8,256,5100,,50,5,,Android 14,Unisoc,Vert Foncé,2 An,Oui,"Smartphone Realme C61 8Go 256Go – Vert Foncé – Ecran : 6.74 Ips Lcd (720x 1600pixels), 90hz – Processeur : Unisoc Tiger T612 (12 Nm) Octa-core – Système D’exploitation : Android 14 – Mémoire : 8 Go – Stockage : 256 Go – Appareil Photo Arrière : 50 Mp + 0,08 Mp – Avant : 5 Mp – Capacité De Batterie : 5100 Mah, Charge Rapide 15 W – Connectivité: Wifi, Bluetooth 5.0, 4 G – Commandes Gestuelles – Boost Ia – Ip54 Résistant À L’eau Et À La Poussière – Double Sim – Couleur : Vert Foncé – Garantie : 2 Ans",https://bestbuytunisie.tn/smartphone-realme-c61-8go-256go-vert-fonce-realme-c61-256-gn-tunisie/
Smartphone Realme C61 8Go 256Go – Gold – REALME-C61-256-GD,Realme,REALME-C61-256-GD,559.000,559.000,8,256,5100,,50,5,,Android 14,Unisoc,Gold,2 An,Oui,"Smartphone Realme C61 8Go 256Go – Gold – Ecran : 6.74 Ips Lcd (720x 1600pixels), 90hz – Processeur : Unisoc Tiger T612 (12 Nm) Octa-core – Système D’exploitation : Android 14 – Mémoire : 8 Go – Stockage : 256 Go – Appareil Photo Arrière : 50 Mp + 0,08 Mp – Avant : 5 Mp – Capacité De Batterie : 5100 Mah, Charge Rapide 15 W – Connectivité: Wifi, Bluetooth 5.0, 4 G – Commandes Gestuelles – Boost Ia – Ip54 Résistant À L’eau Et À La Poussière – Double Sim – Couleur : Gold – Garantie : 2 Ans",https://bestbuytunisie.tn/smartphone-realme-c61-8go-256go-gold-realme-c61-256-gd-tunisie/
Smartphone Vivo Y27 6Go – 128Go – Burgundy Noir,Vivo,57315,639.000,639.000,6,128,5000,6.64,50,8,4G,Android 13,MediaTek,Burgundy Noir,1 an,Oui,– Écran: 6.64″ FHD+ (2388 x 1080pixels) – Processeur: Mediatek Hélio G85 (12nm) – Système d’exploitation: Funtouch OS 13 (basé sur Android 13) – RAM: 6Go – Stockage: 128Go – Appareil Photo Arrière : Dual 50MP + 2MP – Appareil Photo Frontale: 8MP – Connectivité: Wifi 4G et Bluetooth 5.0 – Batterie: 5000mAh – Empreinte digitale – Indice de protection: IP54 – Double SIM – Couleur: Noir – Garantie: 1 an,https://bestbuytunisie.tn/smartphone-vivo-y27-6go-128go-burgundy-noir-tunisie/
Smartphone Honor X6C 12Go 128Go 4G – Noir,Honor,159141,499.000,,12,128,5300,6.61,,5,4G,Android 15,MediaTek,Noir,1an,Oui,"– Écran : 6,61″ LCD TFT (1604 x 720 pixels) 120Hz – Processeur: MediaTek Helio G81 Ultra Octa-core – Système d’exploitation: MagicOS 9.0, Android 15 – Mémoire RAM: 6 Go extensible jusqu’à 12 Go – Stockage: 128Go – Appareil photo Arrière: IA 50 MP (F1.8) + objectif auxiliaire – Avant : 5 MP (f/2.2) – Connectivité: Wi-Fi, Bluetooth 5.1, 4G – Double SIM – Capacité de la batterie: 5300 mAh – Résistance à l’eau et à la poussière: IP64 – HONOR SuperCharge 35W – Couleur: Noir – Garantie: 1an",https://bestbuytunisie.tn/smartphone-honor-x6c-12go-128go-4g-noir-tunisie/
