price,value_score,total_specs_score,brand,network,os,processor_type,price_tier,price,name
269.0,0.9921040568475319,0.1606197829266245,TECNO,4G,Android 15,Octa Core,Budget,269.0,Smartphone Tecno SPARK Go 2 KM4 3 Go / 64 Go / Noir
279.0,0.916837962208051,0.151501639717924,TCL,4G,Android 12,Octa Core,Budget,279.0,SMARTPHONE TCL 503 6GB / 64GB / Blue
289.0,1.0177356119820788,0.1868583235753285,Xiaomi,4G,Android 15,Octa Core,Budget,289.0,Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Bleu
289.0,1.0177356119820788,0.1868583235753285,Xiaomi,4G,Android 15,Octa Core,Budget,289.0,Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Gold
289.0,1.0059336858014511,0.19310797455955298,realme,4G,Android 13,Octa Core,Budget,289.0,SMARTPHONE REALME NOTE 50  3/64G  /  Noir
289.0,1.0177356119820788,0.1868583235753285,Xiaomi,4G,Android 15,Octa Core,Budget,289.0,Smartphone XIAOMI Redmi A5 / 3 Go / 64 Go / Noir
299.0,0.8665247611126682,0.15515925661083502,Honor,4G,Android 15,MediaTek,Budget,299.0,SMARTPHONE HONOR PLAY10 3Go / 64Go / 4G / PURPLE
299.0,0.8665247611126682,0.15515925661083502,Honor,4G,Android 15,MediaTek,Budget,299.0,SMARTPHONE HONOR PLAY10  3Go / 64Go / 4G / CYAN
299.0,0.7483785876815926,0.1677619596353647,Itel mobile,4G,Android 11,Octa Core,Budget,299.0,Smartphone Itel S18 / 4 Go / 64 GO / Noir
299.0,0.8665247611126682,0.15515925661083502,Honor,4G,Android 15,MediaTek,Budget,299.0,SMARTPHONE HONOR PLAY10  3Go / 64Go / 4G / BLACK
319.0,0.8704170426106379,0.18545082321251866,Infinix,4G,Android 15,Octa Core,Budget,319.0,Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Noir
319.0,0.8704170426106379,0.18545082321251866,Infinix,4G,Android 15,Octa Core,Budget,319.0,Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Bleu
319.0,0.6911765481276209,0.15207291057000616,Itel mobile,4G,Android 11,Octa Core,Budget,319.0,Smartphone Itel S23 / 4 Go / 128 GO / Blanc
319.0,0.8704170426106379,0.18545082321251866,Infinix,4G,Android 15,Octa Core,Budget,319.0,Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Silver
319.0,0.8704170426106379,0.18545082321251866,Infinix,4G,Android 15,Octa Core,Budget,319.0,Smartphone Infinix SMART 10 4G / 4 Go / 128 Go / Gold
319.0,0.7570312419314977,0.12991366630549872,Infinix,4G,Android 14,Octa Core,Budget,319.0,Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Silver
319.0,0.7570312419314977,0.12991366630549872,Infinix,4G,Android 14,Octa Core,Budget,319.0,Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Gold
319.0,0.7570312419314977,0.12991366630549872,Infinix,4G,Android 14,Octa Core,Budget,319.0,Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Vert
319.0,0.7570312419314977,0.12991366630549872,Infinix,4G,Android 14,Octa Core,Budget,319.0,Smartphone Infinix SMART 9 4G / 4 Go / 128 Go / Noir
325.0,0.9160800447707951,0.19531587044598694,TECNO,4G,Android 14,Octa Core,Budget,325.0,Smartphone Tecno SPARK Go 1 4G / 4 Go / 128 Go / Noir
329.0,0.8836123729205448,0.1932106072880922,OSCAL,4G,Android 14,Octa Core,Budget,329.0,Smartphone OSCAL FLAT 2 | 4+8G/128G | Bleu
329.0,0.8836123729205448,0.1932106072880922,OSCAL,4G,Android 14,Octa Core,Budget,329.0,Smartphone OSCAL FLAT 2 | 4+8G/128G | NOIR
339.0,0.8114829103030866,0.1705412714857505,Vivo,4G,Android 14,Unisoc,Budget,339.0,SMARTPHONE VIVO Y04 8 Go / 64 Go / Vert
339.0,0.8114829103030866,0.1705412714857505,Vivo,4G,Android 14,Unisoc,Budget,339.0,SMARTPHONE VIVO Y04 8 Go / 64 Go / Gold
345.0,0.9139898327951467,0.2186596742525857,Xiaomi,4G,Android 15,Octa Core,Budget,345.0,Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Blue
345.0,0.9139898327951467,0.2186596742525857,Xiaomi,4G,Android 15,Octa Core,Budget,345.0,Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Gold
345.0,0.9139898327951467,0.2186596742525857,Xiaomi,4G,Android 15,Octa Core,Budget,345.0,Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Noir
345.0,0.9139898327951467,0.2186596742525857,Xiaomi,4G,Android 15,Octa Core,Budget,345.0,Smartphone XIAOMI Redmi A5 / 4 Go / 128 Go / Vert
349.0,0.631763091268513,0.15207291057000616,Itel mobile,4G,Android 11,Octa Core,Budget,349.0,Smartphone Itel S23 / 8 Go / 128 GO / Noir
349.0,0.631763091268513,0.15207291057000616,Itel mobile,4G,Android 11,Octa Core,Budget,349.0,Smartphone Itel S23 / 8 Go / 128 GO / Blanc
349.0,0.46645538289564586,0.18017248313154702,realme,4G,Android 12,Octa Core,Budget,349.0,Smartphone Realme C33 / 4 Go / 128 Go / Gold
349.0,0.8675228905197441,0.2018089549517098,Samsung,4G,Android 15,Octa Core,Budget,349.0,Samsung Galaxy A07 / 8 Go / 64 Go / Noir
349.0,0.46645538289564586,0.18017248313154702,realme,4G,Android 12,Octa Core,Budget,349.0,Smartphone Realme C33 / 4 Go / 128 Go / Noir
349.0,0.631763091268513,0.15207291057000616,Itel mobile,4G,Android 11,Octa Core,Budget,349.0,Smartphone Itel S23 / 8 Go / 256 GO / Blanc
349.0,0.8675228905197441,0.2018089549517098,Samsung,4G,Android 15,Octa Core,Budget,349.0,Samsung Galaxy A07 / 8 Go / 64 Go / Vert
359.0,0.889724910096271,0.24807313241017032,Infinix,4G,Android 15,Octa Core,Budget,359.0,Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Bleu
359.0,0.9851363280776936,0.28753163443446184,realme,4G,Android 13,Octa Core,Budget,359.0,SMARTPHONE REALME NOTE 50 / 4 Go / 256 Go /  Bleu
359.0,0.9851363280776936,0.28753163443446184,realme,4G,Android 13,Octa Core,Budget,359.0,SMARTPHONE REALME NOTE 50 / 4 Go / 256 Go /  Noir
359.0,0.889724910096271,0.24807313241017032,Infinix,4G,Android 15,Octa Core,Budget,359.0,Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Silver
359.0,0.889724910096271,0.24807313241017032,Infinix,4G,Android 15,Octa Core,Budget,359.0,Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Gold
359.0,0.889724910096271,0.24807313241017032,Infinix,4G,Android 15,Octa Core,Budget,359.0,Smartphone Infinix SMART 10 4G / 4 Go / 256 Go / Noir
369.0,0.8020780749556375,0.20185242608457632,Vivo,4G,Android 14,Unisoc,Budget,369.0,SMARTPHONE VIVO Y04 8 Go / 128 Go / Gold
369.0,0.8020780749556375,0.20185242608457632,Vivo,4G,Android 14,Unisoc,Budget,369.0,SMARTPHONE VIVO Y04 8 Go / 128 Go / Vert
379.0,0.6525580308756165,0.1330193831839016,Honor,4G,Android 15,Octa Core,Budget,379.0,SMARTPHONE HONOR X5C 4Go / 64Go / Noir
379.0,0.6525580308756165,0.1330193831839016,Honor,4G,Android 15,Octa Core,Budget,379.0,SMARTPHONE HONOR X5C 4Go / 64Go / Bleu
379.0,0.7988535324311099,0.2018089549517098,Samsung,4G,Android 15,Octa Core,Budget,379.0,Samsung Galaxy A07 / 8 Go / 64 Go / Noir Avec Chargeur secteur et câble
379.0,0.7988535324311099,0.2018089549517098,Samsung,4G,Android 15,Octa Core,Budget,379.0,Samsung Galaxy A07 / 8 Go / 64 Go / Violet Avec Chargeur secteur et câble
379.0,0.7988535324311099,0.2018089549517098,Samsung,4G,Android 15,Octa Core,Budget,379.0,Samsung Galaxy A07 / 8 Go / 64 Go / Vert Avec Chargeur secteur et câble
389.0,0.8493141783081425,0.22706029235268063,TECNO,4G,Android 15,Octa Core,Budget,389.0,Smartphone TECNO Spark 40C  8/128 Go / GRIS
389.0,0.8493141783081425,0.22706029235268063,TECNO,4G,Android 15,Octa Core,Budget,389.0,Smartphone TECNO Spark 40C  8/128 Go / BLANC
389.0,0.8483381515313158,0.23424498055156764,TECNO,4G,Android 14,Octa Core,Budget,389.0,Smartphone Tecno SPARK 30C 4G / 6 Go / 128 Go / Noir + Ecouteurs sans fil  TECNO BUDS 3 Offerts
389.0,0.8483381515313158,0.23424498055156764,TECNO,4G,Android 14,Octa Core,Budget,389.0,Smartphone Tecno SPARK 30C 4G / 6 Go / 128 Go / Blanc + Ecouteurs sans fil  TECNO BUDS 3 Offerts
389.0,0.8018399373987768,0.22490932523681018,realme,4G,Android 13,Octa Core,Budget,389.0,Smartphone Realme C51 / 4 Go / 128 Go / Vert
389.0,0.8493141783081425,0.22706029235268063,TECNO,4G,Android 15,Octa Core,Budget,389.0,Smartphone TECNO Spark 40C  8/128 Go / BLACK
389.0,0.8493141783081425,0.22706029235268063,TECNO,4G,Android 15,Octa Core,Budget,389.0,Smartphone TECNO Spark 40C  8/128 Go / BLEU
399.0,0.6920425362762748,0.22303239025229005,ZTE,4G,Android 13,Octa Core,Budget,399.0,Smartphone ZTE V50 DESIGN 4G / 8 Go / 128 Go / Noir
399.0,0.6910494205117313,0.17178011573036878,Itel mobile,4G,Android 13,Octa Core,Budget,399.0,SMARTPHONE ITEL P55 8/256G / Violet
399.0,0.821029426773338,0.23980114403329428,Vivo,4G,Android 14,Octa Core,Budget,399.0,Smartphone VIVO Y19S / 8 Go / 128 Go / Silver
399.0,0.821029426773338,0.23980114403329428,Vivo,4G,Android 14,Octa Core,Budget,399.0,Smartphone VIVO Y19S / 8 Go / 128 Go / Noir
399.0,0.8348628360748592,0.2568133086426066,OSCAL,4G,Android 14,Octa Core,Budget,399.0,Smartphone OSCAL FLAT 2 | 6+12G/256G | NOIR
399.0,0.8348628360748592,0.2568133086426066,OSCAL,4G,Android 14,Octa Core,Budget,399.0,Smartphone OSCAL FLAT 2 | 6+12G/256G | Bleu
399.0,0.6910494205117313,0.17178011573036878,Itel mobile,4G,Android 13,Octa Core,Budget,399.0,SMARTPHONE ITEL P55 8/256G / Gold
399.0,0.6910494205117313,0.17178011573036878,Itel mobile,4G,Android 13,Octa Core,Budget,399.0,SMARTPHONE ITEL P55 8/256G / Bleu
399.0,0.6920425362762748,0.22303239025229005,ZTE,4G,Android 13,Octa Core,Budget,399.0,Smartphone ZTE V50 DESIGN 4G / 8 Go / 128 Go / Violet
399.0,0.6920425362762748,0.22303239025229005,ZTE,4G,Android 13,Octa Core,Budget,399.0,Smartphone ZTE V50 DESIGN 4G / 8 Go / 128 Go / Vert
419.0,0.7985709835205422,0.23838291158605038,Infinix,4G,Android 15,MediaTek,Budget,419.0,Smartphone Infinix HOT 60i 4G / 6 Go / 128 Go / Meadow Green
419.0,0.7985709835205422,0.23838291158605038,Infinix,4G,Android 15,MediaTek,Budget,419.0,Smartphone Infinix HOT 60i 4G / 6 Go / 128 Go / Purple
419.0,0.7985709835205422,0.23838291158605038,Infinix,4G,Android 15,MediaTek,Budget,419.0,Smartphone Infinix HOT 60i 4G / 6 Go / 128 Go / Neon Red
419.0,0.6510216502387229,0.16620282893966115,realme,4G,Android 14,Unisoc,Budget,419.0,Smartphone Realme C61 / 6 Go / 128 Go / Gold
419.0,0.6510216502387229,0.16620282893966115,realme,4G,Android 14,Unisoc,Budget,419.0,Smartphone Realme C61 / 6 Go / 128 Go / Vert
419.0,0.6364265479031128,0.16728389060630378,Honor,4G,Android 15,Octa Core,Budget,419.0,SMARTPHONE HONOR X5C Plus 4Go / 128Go / Cyan
419.0,0.7985709835205422,0.23838291158605038,Infinix,4G,Android 15,MediaTek,Budget,419.0,Smartphone Infinix HOT 60i 4G / 6 Go / 128 Go / Sleek Black
419.0,0.7985709835205422,0.23838291158605038,Infinix,4G,Android 15,MediaTek,Budget,419.0,Smartphone Infinix HOT 60i 4G / 6 Go / 128 Go / Shadow Blue
419.0,0.6364265479031128,0.16728389060630378,Honor,4G,Android 15,Octa Core,Budget,419.0,SMARTPHONE HONOR X5C Plus 4Go / 128Go / Noir
429.0,0.7544046430239499,0.23312010955053564,Samsung,4G,Android 15,Octa Core,Budget,429.0,Samsung Galaxy A07 / 8 Go / 128 Go / Violet Avec Chargeur secteur et câble
429.0,0.7544046430239499,0.23312010955053564,Samsung,4G,Android 15,Octa Core,Budget,429.0,Samsung Galaxy A07 / 8 Go / 128 Go / Noir Avec Chargeur secteur et câble
