name,brand,price_tnd,original_price_tnd,discount_percent,ram_gb,storage_gb,color,network,availability,product_url,image_url,category,source,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,os,processor_type
Samsung Galaxy S25  5G Violet 128GB,Samsung,2.2,2.25,2.2,,128.0,Violet,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-s25-5g-violet-128gb/,,smartphone,BestPhone.tn,4000.0,6.2,50.0,,Android 15,Octa Core
Samsung Galaxy S25FE  5G 8GB 256GB Black,Samsung,1.9,2.0,5.0,8.0,256.0,Black,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-s25fe-5g-8gb-256gb-black/,,smartphone,BestPhone.tn,,,,,,
Samsung Galaxy S25FE  5G 8GB 256GB Navy Bleu,Samsung,1.9,2.0,5.0,8.0,256.0,Bleu,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-s25fe-5g-8gb-256gb-navy-bleu/,,smartphone,BestPhone.tn,,,,,,
Samsung Galaxy S24FE  5G 8GB 256GB Graphite,Samsung,1.6,1.65,3.0,8.0,256.0,,5G,Out of Stock,https://bestphone.tn/product/samsung-galaxy-s24fe-5g-8gb-128gb-graphite/,,smartphone,BestPhone.tn,,,,,,
Samsung Galaxy S24FE  5G 8GB 256GB Silver,Samsung,1.6,1.75,8.6,8.0,256.0,Silver,5G,Out of Stock,https://bestphone.tn/product/samsung-galaxy-s24fe-5g-8gb-256gb-silver/,,smartphone,BestPhone.tn,,,,,,
SAMSUNG GALAXY A56 5G 8GB 256GB Noir,Samsung,1.15,1.3,11.5,8.0,256.0,Noir,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a56-5g-8gb-256gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,,,,Octa Core
SAMSUNG GALAXY A56 5G 8GB 256GB Rose,Samsung,1.15,1.3,11.5,8.0,256.0,Rose,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a56-5g-8gb-256gb-rose/,,smartphone,BestPhone.tn,5000.0,6.7,,,,Octa Core
SAMSUNG GALAXY A56 5G 8GB 256GB Silver,Samsung,1.15,1.3,11.5,8.0,256.0,Silver,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a56-5g-8gb-256gb-silver/,,smartphone,BestPhone.tn,5000.0,6.7,,,,Octa Core
SAMSUNG GALAXY A56 5G 8GB 128GB Gris,Samsung,1.05,1.3,19.2,8.0,128.0,Gris,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a56-5g-8go-128go-silver/,,smartphone,BestPhone.tn,5000.0,6.7,,,,Octa Core
SAMSUNG GALAXY A56 5G 8GB 128GB Noir,Samsung,1.05,1.3,19.2,8.0,128.0,Noir,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a56-5g-8gb-128gb-noir/,,smartphone,BestPhone.tn,5000.0,6.7,,,,Octa Core
SAMSUNG GALAXY A56 5G 8GB 128GB Rose,Samsung,1.05,1.3,19.2,8.0,128.0,Rose,5G,In Stock,https://bestphone.tn/product/samsung-galaxy-a56-5g-8gb-128gb-rose/,,smartphone,BestPhone.tn,5000.0,6.7,,,,Octa Core
HONOR PLAY 10 3GB 64GB  MIDNIGHT BLACK,Honor,249.0,,,3.0,64.0,Or,4G,In Stock,https://bestphone.tn/product/honor-play-10-3gb-64gb-midnight-black/,,smartphone,BestPhone.tn,5000.0,6.74,,,Android 15,Octa Core
HONOR PLAY 10 3GB 64GB  STARRY PURPLE,Honor,249.0,,,3.0,64.0,Or,4G,In Stock,https://bestphone.tn/product/honor-play-10-3gb-64gb-starry-purple/,,smartphone,BestPhone.tn,5000.0,6.74,,,Android 15,Octa Core
Honor X8c 8GB 256GB Midnight Black,Honor,699.0,,,8.0,256.0,Or,,In Stock,https://bestphone.tn/product/honor-x8c-8gb-256gb-midnight-black/,,smartphone,BestPhone.tn,,,,,,
Honor X8c 8GB 256GB Moonlight White,Honor,699.0,,,8.0,256.0,Or,,In Stock,https://bestphone.tn/product/honor-x8c-8gb-256gb-moonlight-white/,,smartphone,BestPhone.tn,,,,,,
Honor X9D 5G 12GB 256GB Black,Honor,1.3,,,12.0,256.0,Or,5G,In Stock,https://bestphone.tn/product/honor-x9d-5g-12gb-256gb-black/,,smartphone,BestPhone.tn,8300.0,,108.0,16.0,Android 15,Snapdragon
Honor X9D 5G 12GB 256GB Brown,Honor,1.3,,,12.0,256.0,Or,5G,In Stock,https://bestphone.tn/product/honor-x9d-5g-12gb-256gb-brown/,,smartphone,BestPhone.tn,8300.0,,108.0,16.0,Android 15,Snapdragon
