model,brand,reference,price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Lesia Young 9 6Go 32Go Vert,Lesia,Réf :LESIA-YOUNG9-GREEN,219.000,6,32,,,,,,,,Vert,,Oui,"j'achète Aperçu rapide Réf : LESIA-YOUNG9-GREEN Smartphone Lesia Young 9 6Go 32Go Vert 219,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/95823-smartphone-lesia-young-9-6go-32go-vert.html
Smartphone Vivo Y02t 4Go 64Go Bleu,Vivo,Réf :VIVO-Y02T-4/64-BL,229.000,4,64,,,,,,,,Bleu,,Sur commande,"Promo j'achète Aperçu rapide Réf : VIVO-Y02T-4/64-BL Smartphone Vivo Y02t 4Go 64Go Bleu 399,000 DT -170,000 DT 229,000 DT Sur commande j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/58413-smartphone-vivo-y02t-4go-64go-bleu.html
Smartphone Lesia Bright 3 4Go 64Go Bleu,Lesia,Réf :LESIA-BRIGHT3/BLUE,259.000,4,64,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-BRIGHT3/BLUE Smartphone Lesia Bright 3 4Go 64Go Bleu 259,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82616-smartphone-lesia-bright-3-2go-32go-bleu.html
Smartphone Lesia Bright 3 4Go 64Go Gold,Lesia,Réf :LESIA-BRIGHT3/GOLD,259.000,4,64,,,,,,,,Gold,,Oui,"j'achète Aperçu rapide Réf : LESIA-BRIGHT3/GOLD Smartphone Lesia Bright 3 4Go 64Go Gold 259,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/91523-smartphone-lesia-bright-3-4go-64go-gold.html
Smartphone Lesia Bright 3 4Go 64Go Dark Bleu,Lesia,Réf :LESIA-BRIGHT3/DBL,259.000,4,64,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : LESIA-BRIGHT3/DBL Smartphone Lesia Bright 3 4Go 64Go Dark Bleu 259,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/82823-smartphone-lesia-young-3-2go-32go-dark-bleu.html
Smartphone Infinix Smart 10 3Go 64Go Twilight Gold,INFINIX,Réf :SMART10-3/64-GOLD,265.000,3,64,,,,,,,,Gold,,Oui,"j'achète Aperçu rapide Réf : SMART10-3/64-GOLD Smartphone Infinix Smart 10 3Go 64Go Twilight Gold 265,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/infinix-smart-10/91358-smartphone-infinix-smart-10-3go-64go-twilight-gold.html
Smartphone Infinix Smart 10 3Go 64Go Bleu,INFINIX,Réf :SMART10-3/64-BLEU,265.000,3,64,,,,,,,,Bleu,,Oui,"j'achète Aperçu rapide Réf : SMART10-3/64-BLEU Smartphone Infinix Smart 10 3Go 64Go Bleu 265,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/infinix-smart-10/91360-smartphone-infinix-smart-10-3go-64go-bleu.html
Smartphone Infinix Smart 10 3Go 64Go Noir,INFINIX,Réf :SMART10-3/64-BLACK,265.000,3,64,,,,,,,,Noir,,Oui,"j'achète Aperçu rapide Réf : SMART10-3/64-BLACK Smartphone Infinix Smart 10 3Go 64Go Noir 265,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/infinix-smart-10/91361-smartphone-infinix-smart-10-3go-64go-noir.html
Smartphone Infinix Smart 10 3Go 64Go Silver,INFINIX,Réf :SMART10-3/64-SILVER,265.000,3,64,,,,,,,,Silver,,Oui,"j'achète Aperçu rapide Réf : SMART10-3/64-SILVER Smartphone Infinix Smart 10 3Go 64Go Silver 265,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/infinix-smart-10/91362-smartphone-infinix-smart-10-3go-64go-silver.html
Smartphone Itel A90 3Go 64Go Noir,Itel Mobile,Réf :ITEL-A90-3/64-BLACK,289.000,3,64,,,,,,,,Noir,,Oui,"j'achète Aperçu rapide Réf : ITEL-A90-3/64-BLACK Smartphone Itel A90 3Go 64Go Noir 289,000 DT En stock j'achète Aperçu rapide",https://spacenet.tn/smartphone-tunisie/90305-smartphone-itel-a90-3go-64go-noir.html
