model,brand,reference,price_dt,ram_gb,storage_gb,battery_mah,screen_inches,camera_rear_mp,camera_front_mp,network,os,processor_type,color,warranty,in_stock,description,url
Smartphone Lesia Young 3 2+2Go 32Go  -SKY BLUE,Lesia,LESIA-YOUNG3-BLEU,209.000,4.0,32,5000.0,5.6,8.0,5.0,4G,Android 13,Octa Core,SKY BLUE,1 an,Oui,"Smartphone Lesia Young 3 2+2Go 32Go  -SKY BLUE [LESIA-YOUNG3-BLEU] Double SIM - Ecran 6.56"" HD+ IPS - Processeur Octa-Core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android 13 - DCaméra Arrière : 8MP / Frontale : 5MP - 4G - Reconnaissance faciale - Capteurs d'empreintes digitales latérale - Batterie 5000 mAh - Fast Charge 18 W - Couleur Bleu - Garantie 1 an En stock 209,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tuni",https://www.tunisianet.com.tn/smartphone-tunisie/89002-smartphone-lesia-young-3-22go-32go-sky-blue.html
Smartphone Lesia Young 9 / 6Go 32Go / Bleu Foncé,Lesia,LESIA-YOUNG9-DB,219.000,6.0,32,5000.0,5.6,8.0,5.0,3G,,,Bleu Foncé,1 an,Oui,"Smartphone Lesia Young 9 / 6Go 32Go / Bleu Foncé [LESIA-YOUNG9-DB] Double SIM - Ecran 6.56"" HD+ IPS - Processeur : SC7731E - RAM 6 Go - Mémoire 32 Go - Système d’exploitation : Android - Caméra Arrière : 8MP / Frontale : 5MP - Réseau 3G - Wifi, Bluetooth - Batterie 5000 mAh - Reconnaissance faciale - Couleur Bleu Foncé - Garantie 1 an En stock 219,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 219,000 DT Prix En stock Ajouter au panier Favo",https://www.tunisianet.com.tn/smartphone-tunisie/91882-smartphone-lesia-young-9-6go-32go-bleu-fonce.html
Smartphone Lesia Young 9 / 6Go 32Go / Vert,Lesia,LESIA-YOUNG9-VR,219.000,6.0,32,5000.0,5.6,8.0,5.0,3G,,,Vert,1 an,Oui,"Smartphone Lesia Young 9 / 6Go 32Go / Vert [LESIA-YOUNG9-VR] Double SIM - Ecran 6.56"" HD+ IPS - Processeur : SC7731E - RAM 6 Go - Mémoire 32 Go - Système d’exploitation : Android - Caméra Arrière : 8MP / Frontale : 5MP - Réseau 3G - Wifi, Bluetooth - Batterie 5000 mAh - Reconnaissance faciale - Couleur Vert - Garantie 1 an En stock 219,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 219,000 DT Prix En stock Ajouter au panier Favoris Comparer",https://www.tunisianet.com.tn/smartphone-tunisie/91881-smartphone-lesia-young-9-6go-32go-vert.html
Téléphone Portable LOGICOM LYRA | 2+2Go / 32Go | Noir,LOGICOM,LOG-LYRA-32G-BK,219.000,4.0,32,3000.0,5.99,8.0,5.0,4G,Android 14,Quad Core,Noir,1 an,Oui,"Téléphone Portable LOGICOM LYRA | 2+2Go / 32Go | Noir [LOG-LYRA-32G-BK] Double SIM - Ecran 5.99"" IPS - Processeur Quad-core - RAM 2 Go Extensible jusqu'à 4Go - Mémoire 32 Go - Système d’exploitation : Android 14 - Caméra Arrière : 8MP / Frontale : 5MP - 4G - Capacité de Batterie 3000 mAh - Wifi, Bluetooth - Couleur Noir - Garantie 1 an En stock 219,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 219,000 DT Prix En stock Ajouter au panier Fav",https://www.tunisianet.com.tn/smartphone-tunisie/91038-telephone-portable-logicom-lyra-22go-32go-noir.html
Smartphone Itel A58 LITE A631W / 2 Go / 32 GO / Noir,Itel mobile,ITEL-A58LITE-BK,229.000,2.0,32,4000.0,6.3,5.0,,3G,Android 11,Quad Core,Noir,1 an,Oui,"Smartphone Itel A58 LITE A631W / 2 Go / 32 GO / Noir [ITEL-A58LITE-BK] Double SIM - Ecran 6.3"" - Processeur Quad Core - RAM 2 Go - Mémoire 32 Go - Android 11 Go Edition - Double Caméra: 5MP + QVGA (Arrière), 5MP (Frontale) - 3G - Wifi - Bluetooth - Lecteur d'empreintes digitales - Batterie 4000 mAh - Garantie 1 an En stock 229,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 229,000 DT Prix En stock Ajouter au panier Favoris Comparer Disponib",https://www.tunisianet.com.tn/smartphone-tunisie/61304-smartphone-itel-a58-lite-a631w-2-go-32-go-noir.html
Smartphone Iku A10S / 4G / 32Go / Blanc,IKU,IKU-A10S-WH,229.000,4.0,32,4000.0,6.0,13.0,5.0,4G,Android 12,Quad Core,Blanc,1 an,Oui,"-100,000 DT -100,000 DT Smartphone Iku A10S / 4G / 32Go / Blanc [IKU-A10S-WH] Double SIM - Ecran: 6.0"" HD - Processeur: Quad core - Système : Android 12 go - Mémoire RAM: 4 Go (2+2 ) - Stockage: 32 Go - Appareil Photo Arriére: 13 MP + 2 Mp , Appareil Photo Frontale: 5 MP - Capacité de Batterie: 4000 mAh - 4G - Wifi - Bluetooth - Lecteur d'empreinte Digitale - Couleur: Blanc - Garantie: 1 an En stock 229,000 DT Prix de base 329,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique",https://www.tunisianet.com.tn/smartphone-tunisie/63887-smartphone-iku-a10s-4g-32go-blanc.html
Téléphone Portable LOGICOM Vision | 3+3Go / 32Go | Noir,LOGICOM,LOG-VISION-32G-BK,239.000,6.0,32,4000.0,5.0,16.0,8.0,4G,Android 14,Quad Core,Noir,1 an,Oui,"Téléphone Portable LOGICOM Vision | 3+3Go / 32Go | Noir [LOG-VISION-32G-BK] Double SIM - Ecran 6.5"" IPS HD+ - Processeur Quad-core - RAM 3 Go Extensible jusqu'à 6Go - Mémoire 32 Go - Système d’exploitation : Android 14 - Caméra Arrière : 16MP / Frontale : 8MP - 4G - Capacité de Batterie 4000 mAh - Wifi, Bluetooth - Couleur Noir - Garantie 1 an En stock 239,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis Sousse Sfax Tunis Drive-IN 239,000 DT Prix En stock Ajouter au pa",https://www.tunisianet.com.tn/smartphone-tunisie/91043-telephone-portable-logicom-vision-33go-32go-noir.html
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Bleu,TECNO,TECNO-BG6M-2-64-BL,249.000,4.0,64,5000.0,6.0,13.0,8.0,4G,,Octa Core,Bleu,1 an,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Bleu [TECNO-BG6M-2-64-BL] Ecran 6.6"" pouces IPS LCD HD+ (720 x 1612 pixels) - Taux de Rafraîchissement 90 Hz - Processeur Octa-core Unisoc T606 (12 nm) - RAM 2Go extensible jusqu'à 4Go - Stockage 64 Go - Appareils Photos Arrière 13 MP - Appareil Photo Frontale 8 MP - Lecteur d'empreintes digitales - 4G - Wifi - GPS - Batterie 5000 mAh - Charge 10W, Type-C - Couleur Bleu - Garantie 1 an En stock 249,000 DT Prix Ajouter au panier Favoris Compar",https://www.tunisianet.com.tn/smartphone-tunisie/87998-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-bleu.html
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Gris,TECNO,TECNO-BG6M-2-64-GR,249.000,4.0,64,5000.0,6.0,13.0,8.0,4G,,Octa Core,Gris,1 an,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Gris [TECNO-BG6M-2-64-GR] Ecran 6.6"" pouces IPS LCD HD+ (720 x 1612 pixels) - Taux de Rafraîchissement 90 Hz - Processeur Octa-core Unisoc T606 (12 nm) - RAM 2Go extensible jusqu'à 4Go - Stockage 64 Go - Appareils Photos Arrière 13 MP - Appareil Photo Frontale 8 MP - Lecteur d'empreintes digitales - 4G - Wifi - GPS - Batterie 5000 mAh - Charge 10W, Type-C - Couleur Gris - Garantie 1 an En stock 249,000 DT Prix Ajouter au panier Favoris Compar",https://www.tunisianet.com.tn/smartphone-tunisie/87999-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-gris.html
Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Blanc,TECNO,TECNO-BG6M-2-64-WH,249.000,4.0,64,5000.0,6.0,13.0,8.0,4G,,Octa Core,Blanc,1 an,Oui,"Smartphone Tecno Spark Go 2025 BG6M 2 + 2Go / 64 Go / Blanc [TECNO-BG6M-2-64-WH] Ecran 6.6"" pouces IPS LCD HD+ (720 x 1612 pixels) - Taux de Rafraîchissement 90 Hz - Processeur Octa-core Unisoc T606 (12 nm) - RAM 2Go extensible jusqu'à 4Go - Stockage 64 Go - Appareils Photos Arrière 13 MP - Appareil Photo Frontale 8 MP - Lecteur d'empreintes digitales - 4G - Wifi - GPS - Batterie 5000 mAh - Charge 10W, Type-C - Couleur Blanc - Garantie 1 an En stock 249,000 DT Prix Ajouter au panier Favoris Comp",https://www.tunisianet.com.tn/smartphone-tunisie/88000-smartphone-tecno-spark-go-2025-bg6m-2-2go-64-go-blanc.html
Smartphone Itel A58 PRO / 4G / Double SIM / 2 Go / 32 Go / Noir,Itel mobile,ITEL-A58PRO-BK,249.000,2.0,32,4000.0,6.0,5.0,5.0,4G,Android 11,Quad Core,Noir,1 an,Oui,"-50,000 DT -50,000 DT Smartphone Itel A58 PRO / 4G / Double SIM / 2 Go / 32 Go / Noir [ITEL-A58PRO-BK] Ecran 6.6"" HD+ IPS TFT - Processeur Quad Core 1.3 Ghz - RAM 2 Go - Mémoire 32 Go - Android 11 (Edition Go) - Double Caméra Arrière 5 MP + QVGA - Caméra Frontale 5 MP - Reconnaissance Faciale - Empreintes Digitales - Batterie 4000 mAh - 4G - Wifi - GPS - Couleur Noir  - Garantie 1 an En stock 249,000 DT Prix de base 299,000 DT Prix Ajouter au panier Favoris Comparer Disponibilité Boutique Tunis ",https://www.tunisianet.com.tn/smartphone-tunisie/58451-smartphone-itel-a58-pro-4g-double-sim-2-go-32-go-noir.html
